employee_id,age,gender,department,role,tenure_years,salary,avg_hours_per_week,overtime_hours_per_month,remote_work_type,manager_support_score,team_size,performance_rating,goals_completed_pct,sick_leave_days,vacation_days_taken,job_satisfaction,workload_stress,work_life_balance,career_growth_satisfaction,months_since_last_promotion,training_hours_last_year,burnout_score,burnout_high_risk
EMP00001,38,Male,Sales,Associate,3.48,64231,45.4,7.7,On-site,8.51,7,1.2,72.4,5,6.5,5.91,6.32,6.31,6.1,54.7,2.9,0.3766,0
EMP00002,33,Male,Engineering,Senior Dev,0.1,89301,42.1,22.6,On-site,7.2,14,3.71,87.7,0,8.6,6.8,2.25,6.38,8.61,13.9,1.7,0.3298,0
EMP00003,40,Male,Operations,Senior Analyst,0.17,101471,60.7,0.5,Hybrid,7.69,12,2.27,52.9,8,10.4,7.73,7.53,7.49,2.48,30.6,4.5,0.4693,0
EMP00004,47,Male,Sales,Senior,2.28,82411,46.4,9.6,On-site,9.81,6,4.51,80.9,6,21.0,5.53,4.77,5.59,5.76,3.8,3.5,0.4791,0
EMP00005,33,Male,Sales,Associate,0.64,92229,51.0,16.0,Full Remote,6.47,6,2.94,57.9,5,8.6,2.84,4.24,4.57,6.15,1.2,29.4,0.7474,1
EMP00006,33,Female,Engineering,Tech Lead,3.0,71360,47.3,14.9,Full Remote,6.98,7,2.84,47.5,4,11.4,4.93,5.65,4.04,4.73,8.4,2.2,0.6167,0
EMP00007,47,Female,Sales,Manager,2.41,72953,43.1,8.9,Hybrid,7.55,4,3.53,65.2,7,11.0,7.2,3.31,8.59,6.02,3.8,5.5,0.3985,0
EMP00008,41,Female,Operations,Senior Analyst,2.64,77825,44.8,6.1,On-site,9.45,6,3.81,90.6,5,4.8,7.9,6.56,7.88,7.02,13.8,5.1,0.3793,0
EMP00009,31,Male,Sales,Associate,1.08,56171,56.7,3.0,Full Remote,7.22,10,3.53,55.8,5,14.0,6.48,5.94,4.83,5.67,24.0,1.8,0.5209,0
EMP00010,39,Male,Customer Support,Senior Analyst,3.06,60798,53.7,20.6,Full Remote,8.04,17,2.2,47.8,4,16.3,3.81,6.36,6.16,5.23,42.1,0.6,0.6323,0
EMP00011,31,Male,Customer Support,Analyst,5.31,109446,60.6,5.8,On-site,7.46,4,3.59,60.0,3,15.2,7.11,4.05,5.51,3.89,37.2,1.9,0.598,0
EMP00012,31,Other,Engineering,Junior Dev,18.75,125198,46.8,8.7,Full Remote,7.87,13,3.44,79.6,3,12.2,6.87,6.69,5.82,5.26,21.1,12.3,0.51,0
EMP00013,36,Female,Engineering,Senior Dev,5.47,114804,38.0,4.3,Full Remote,8.39,8,3.41,76.7,6,1.0,7.5,4.07,3.59,8.07,59.6,5.4,0.3683,0
