user_id,age,gender,fitness_level,health_goal,bmi,diet_preference,baseline_stress,avg_steps,avg_active_minutes,avg_sleep_hours,avg_resting_hr,avg_calories_burned,avg_wellness_score,steps_consistency,activity_consistency
USER0001,36,Male,Moderately Active,Weight Loss,22.8,Low Carb,4.04,8558.366666666667,46.94444444444444,7.444000000000001,68.86666666666666,2075.9,7.143222222222222,0.31454391968121287,0.3762365723071661
USER0002,30,Male,Moderately Active,Build Muscle,25.1,Low Carb,6.01,8484.822222222223,45.422222222222224,7.462000000000001,68.13333333333334,2067.0555555555557,7.080333333333334,0.34361418170424496,0.40656901450900923
USER0003,38,Male,Very Active,Build Muscle,21.8,Balanced,3.96,11031.144444444444,77.65555555555555,8.043111111111111,69.91111111111111,2327.277777777778,7.093333333333333,0.33043891122320534,0.4161473599083278
USER0004,47,Male,Sedentary,General Fitness,33.1,Vegan,3.75,2725.5333333333333,8.8,6.561222222222222,68.63333333333334,1640.3222222222223,6.8133333333333335,0.3049557891120665,0.41940306508294833
USER0005,29,Female,Sedentary,General Fitness,32.7,Balanced,4.59,2552.0666666666666,8.422222222222222,6.448555555555556,69.54444444444445,1647.7222222222222,7.007555555555555,0.362658504772177,0.4367285193032414
USER0006,29,Female,Moderately Active,Weight Loss,22.5,Balanced,4.77,8001.633333333333,44.22222222222222,7.349222222222222,70.43333333333334,2036.6,7.245888888888889,0.3392953397859116,0.4626007791065074
USER0007,47,Male,Lightly Active,Stress Management,26.6,Balanced,6.08,5480.2,28.1,7.019222222222222,71.02222222222223,1876.3333333333333,7.068333333333333,0.3540505181211459,0.4082153455385802
USER0008,39,Female,Lightly Active,General Fitness,23.3,Low Carb,5.78,5558.4,25.711111111111112,6.944555555555556,68.73333333333333,1839.0222222222221,7.032333333333333,0.3643589960652161,0.4626484256656007
USER0009,27,Female,Moderately Active,Build Muscle,28.5,Balanced,5.47,7886.611111111111,45.166666666666664,7.489111111111111,70.1,2037.7333333333333,7.227777777777778,0.412752908121651,0.4676031016394699
USER0010,37,Male,Moderately Active,Weight Loss,28.0,Balanced,6.24,7878.788888888889,47.166666666666664,7.569111111111112,70.88888888888889,2048.6444444444446,7.110222222222221,0.3808197480244735,0.387051714973975
USER0011,27,Male,Very Active,Stress Management,29.2,Balanced,3.14,11180.577777777778,74.83333333333333,7.817111111111111,70.8,2323.7555555555555,6.95,0.3584130260722578,0.43638966267395124
USER0012,27,Female,Very Active,Better Sleep,27.3,Vegetarian,3.7,10998.333333333334,70.8,8.05311111111111,68.9888888888889,2304.177777777778,6.821777777777778,0.3470658733202942,0.505618562069966
USER0013,34,Female,Moderately Active,Weight Loss,37.7,High Protein,6.01,8011.2,46.41111111111111,7.526000000000001,69.66666666666667,2055.777777777778,6.853777777777778,0.3852800710978884,0.4189718910265076
USER0014,18,Female,Lightly Active,Build Muscle,21.9,Balanced,2.65,5512.266666666666,27.266666666666666,7.082,70.87777777777778,1872.4,6.872777777777777,0.38260553163829963,0.4603831580210024
USER0015,18,Male,Moderately Active,Weight Loss,19.2,Balanced,3.47,8402.155555555555,46.888888888888886,7.455666666666667,69.07777777777778,2058.4777777777776,6.958111111111111,0.32530728674007336,0.45792259201092933
USER0016,26,Male,Sedentary,General Fitness,24.4,Low Carb,3.93,2767.9777777777776,9.266666666666667,6.504555555555555,68.7,1646.4888888888888,6.942555555555556,0.38643757598266265,0.41851644270966276
USER0017,21,Male,Sedentary,Weight Loss,19.7,Vegetarian,4.19,2786.288888888889,8.644444444444444,6.468333333333333,69.68888888888888,1640.0222222222221,7.136,0.3759972352258897,0.4219736430149994
USER0018,35,Male,Moderately Active,Build Muscle,20.0,Balanced,5.96,8024.4111111111115,47.18888888888889,7.480111111111111,69.4,2050.4666666666667,6.804111111111111,0.30175829898477097,0.41593048599080895
USER0019,22,Male,Lightly Active,General Fitness,22.0,Vegan,3.97,5294.711111111111,27.41111111111111,7.108888888888888,67.36666666666666,1840.9777777777779,6.998888888888889,0.3740072617187831,0.41965279188579124
USER0020,18,Male,Sedentary,General Fitness,22.3,Low Carb,5.79,2839.8,8.688888888888888,6.5,69.82222222222222,1654.2,7.188888888888889,0.32024752348358415,0.3789543354431361
USER0021,46,Female,Sedentary,Build Muscle,22.2,Balanced,5.98,2655.766666666667,9.2,6.619777777777777,71.2,1653.2555555555555,6.7106666666666674,0.36213363003276444,0.3992281844202733
USER0022,29,Female,Moderately Active,Build Muscle,28.1,Low Carb,2.66,8764.344444444445,47.733333333333334,7.424888888888889,68.26666666666667,2088.722222222222,7.09911111111111,0.32811542956262313,0.41978321790838835
USER0023,32,Male,Lightly Active,General Fitness,24.0,High Protein,4.27,5752.511111111111,27.011111111111113,6.911333333333333,69.86666666666666,1859.0666666666666,6.984111111111112,0.31617446472930893,0.4177403607908587
USER0024,18,Female,Moderately Active,Weight Loss,25.3,Vegetarian,2.96,8662.722222222223,46.12222222222222,7.404555555555556,67.73333333333333,2089.2,7.000333333333333,0.3377643532663467,0.43703085785511625
USER0025,26,Male,Sedentary,Weight Loss,29.6,Balanced,5.72,2772.9333333333334,8.688888888888888,6.4448888888888884,70.0,1642.6444444444444,6.848999999999999,0.3075728519095713,0.4178720325686606
USER0026,33,Male,Moderately Active,Stress Management,22.9,Balanced,2.72,8704.977777777778,45.82222222222222,7.5714444444444435,69.08888888888889,2078.4666666666667,6.9478888888888894,0.34706153555715424,0.4887121337585703
USER0027,20,Male,Moderately Active,Weight Loss,24.9,Balanced,3.63,8226.233333333334,46.977777777777774,7.540666666666667,69.35555555555555,2089.6555555555556,7.118,0.3226274755376218,0.42865410275304583
USER0028,35,Female,Lightly Active,General Fitness,27.5,Balanced,5.84,5381.622222222222,27.4,7.072777777777778,70.25555555555556,1847.7555555555555,7.011,0.3677297550326545,0.5067052435920799
USER0029,25,Other,Lightly Active,Better Sleep,18.2,Vegetarian,4.95,5597.544444444445,28.255555555555556,6.998888888888889,69.41111111111111,1855.2,6.828111111111111,0.40244542601109734,0.5017320770199688
USER0030,29,Female,Sedentary,Weight Loss,18.0,Vegetarian,4.02,2703.0,8.544444444444444,6.496444444444444,71.36666666666666,1650.5444444444445,7.065,0.4100979197455525,0.4150448096765195
USER0031,25,Male,Very Active,Build Muscle,27.4,Vegetarian,5.27,11006.344444444445,69.27777777777777,8.091111111111111,68.85555555555555,2293.1666666666665,7.167777777777778,0.3536405241252365,0.4160958757080507
USER0032,50,Female,Moderately Active,General Fitness,28.0,High Protein,3.21,8060.533333333334,40.94444444444444,7.344888888888889,68.91111111111111,2044.1333333333334,7.048777777777778,0.3790017953928186,0.47588465789776485
USER0033,31,Male,Very Active,Stress Management,34.3,Balanced,3.51,10800.3,71.66666666666667,8.083777777777778,69.75555555555556,2287.6555555555556,6.980666666666666,0.4024104325360157,0.4630210788775084
USER0034,21,Female,Lightly Active,Better Sleep,26.6,Vegan,3.15,5282.433333333333,26.788888888888888,6.951999999999999,68.68888888888888,1828.1333333333334,6.811444444444444,0.3351894120279113,0.4303752224497455
USER0035,40,Female,Moderately Active,General Fitness,29.3,Vegetarian,4.88,7812.722222222223,42.25555555555555,7.599222222222222,69.26666666666667,2010.2777777777778,7.070666666666667,0.3749261702658963,0.49924318107232435
USER0036,19,Male,Moderately Active,Weight Loss,25.2,Balanced,3.25,8160.366666666667,44.333333333333336,7.3373333333333335,68.74444444444444,2041.1333333333334,6.773777777777777,0.36362998832356,0.3958587529020104
USER0037,34,Female,Moderately Active,General Fitness,27.2,Vegetarian,6.27,8472.877777777778,46.1,7.4831111111111115,69.3,2082.177777777778,7.067888888888889,0.32006570064383033,0.455066759513102
