user_id,date,sleep_duration_hrs,deep_sleep_pct,rem_sleep_pct,wake_ups,sleep_efficiency_pct,bedtime_hr,focus_hours,tasks_completed,reaction_time_ms,working_memory_score,attention_score,caffeine_mg,exercise_minutes,stress_level,mental_clarity
USER001,2025-07-10,7.37,22.3,21.4,2,88.3,0.97,8.07,5,245,78,87,152,3,4,3
USER001,2025-07-11,9.97,24.9,22.3,0,98.6,0.92,4.62,3,383,57,88,83,3,5,5
USER001,2025-07-12,10.87,13.9,27.3,5,93.5,2.88,5.09,0,405,56,73,70,11,4,6
USER001,2025-07-13,9.24,27.7,30.8,1,95.5,2.9,4.2,2,309,72,70,100,24,3,6
USER001,2025-07-14,7.13,20.2,26.8,0,89.2,1.28,6.33,4,294,87,85,86,19,2,4
USER001,2025-07-15,7.69,25.3,25.9,2,93.2,0.85,4.88,6,200,77,84,86,57,3,5
USER001,2025-07-16,6.32,25.0,20.4,1,95.1,0.61,6.79,1,226,85,84,74,14,2,5
USER001,2025-07-17,7.84,27.4,32.6,3,97.5,0.83,4.91,2,265,63,85,86,19,5,7
USER001,2025-07-18,7.22,12.5,27.4,1,95.4,1.25,5.25,2,294,88,94,133,1,5,6
USER001,2025-07-19,7.23,31.4,28.2,2,92.9,2.97,5.21,5,312,81,100,237,29,4,6
USER001,2025-07-20,7.93,26.7,28.5,3,95.2,1.96,5.9,4,232,92,83,64,21,1,4
USER001,2025-07-21,8.9,20.7,34.9,2,92.9,1.0,8.8,3,355,84,78,149,2,6,6
USER001,2025-07-22,6.22,25.4,30.2,0,97.2,0.85,5.78,2,409,83,92,54,51,3,4
USER001,2025-07-23,7.69,26.8,25.3,1,93.1,1.3,5.17,5,220,88,75,73,13,3,6
USER001,2025-07-24,10.42,15.2,18.2,3,96.1,0.57,4.36,2,291,59,72,75,21,4,5
USER001,2025-07-25,7.19,27.0,38.8,2,99.1,1.4,7.89,6,264,79,85,14,5,4,6
USER001,2025-07-26,9.13,16.3,28.4,1,99.3,1.55,3.42,1,265,82,64,126,6,6,8
USER001,2025-07-27,9.5,22.7,30.8,2,91.6,1.1,6.47,2,295,81,79,23,26,3,5
USER001,2025-07-28,8.06,15.9,24.4,2,89.4,1.07,4.17,3,327,79,99,152,5,4,7
USER001,2025-07-29,9.26,17.6,26.8,1,93.8,1.13,6.66,3,280,79,85,103,3,6,5
USER001,2025-07-30,6.68,28.2,32.4,2,94.0,1.2,4.69,2,262,65,76,136,38,1,4
USER001,2025-07-31,9.7,23.3,28.8,2,96.8,1.38,5.56,1,323,82,58,84,20,4,6
USER001,2025-08-01,8.13,21.3,31.4,0,96.7,1.43,5.72,7,200,95,100,178,60,5,7
USER001,2025-08-02,8.73,32.9,31.8,3,94.7,1.43,6.59,2,239,100,83,20,17,6,8
USER001,2025-08-03,9.66,31.7,27.3,2,95.9,2.56,5.01,0,293,66,79,31,32,4,7
USER001,2025-08-04,7.27,29.9,29.7,0,98.2,1.31,4.66,3,311,92,100,77,5,2,7
USER001,2025-08-05,5.99,26.6,40.4,2,95.9,0.87,5.13,1,339,65,51,80,11,1,6
USER001,2025-08-06,8.96,28.0,37.0,1,97.4,0.63,6.2,1,262,100,87,114,40,4,6
USER001,2025-08-07,8.58,20.7,21.2,0,97.3,0.82,6.63,5,310,89,87,109,19,3,6
USER001,2025-08-08,9.48,18.4,22.6,1,93.3,0.61,6.09,2,289,75,64,20,23,5,6
USER001,2025-08-09,9.83,29.6,15.6,2,96.2,2.04,5.43,0,298,78,75,35,6,6,6
USER001,2025-08-10,8.83,17.8,22.9,0,94.1,2.36,6.27,3,334,78,79,141,30,5,7
USER001,2025-08-11,8.38,16.9,28.1,1,97.1,1.36,2.93,3,288,100,82,70,44,4,7
USER001,2025-08-12,8.08,24.1,22.6,0,97.8,1.38,6.86,4,227,74,89,144,14,3,6
USER001,2025-08-13,6.78,19.3,22.3,4,92.1,0.86,4.85,5,240,71,65,200,20,3,8
USER001,2025-08-14,5.33,22.9,41.3,2,95.7,0.65,6.35,1,316,57,61,45,23,5,2
USER001,2025-08-15,6.81,25.6,18.7,2,97.1,1.39,5.66,1,246,75,54,299,2,2,3
USER001,2025-08-16,9.21,21.4,22.4,4,94.5,2.91,4.21,1,300,73,70,198,8,4,7
USER001,2025-08-17,9.5,30.2,25.7,4,92.8,1.76,6.63,2,246,55,100,30,5,4,7
USER001,2025-08-18,7.68,24.1,29.8,1,90.2,1.26,4.55,5,200,83,100,130,20,3,7
USER001,2025-08-19,9.14,19.6,32.0,1,99.0,0.7,3.67,5,294,89,64,13,0,1,3
USER001,2025-08-20,9.39,30.3,33.8,4,96.0,1.06,3.8,1,369,83,66,269,30,5,6
USER001,2025-08-21,7.99,16.3,17.9,1,93.8,0.8,8.44,4,299,98,86,70,5,3,7
USER001,2025-08-22,5.43,29.1,37.0,3,91.9,0.85,4.12,0,304,54,69,181,2,4,4
USER001,2025-08-23,9.34,26.8,35.7,2,93.0,1.92,3.97,4,309,76,78,44,15,3,7
USER001,2025-08-24,7.3,21.2,35.5,4,95.9,2.59,4.77,4,282,94,81,116,22,2,4
USER001,2025-08-25,8.05,21.9,27.5,3,91.3,0.69,6.58,2,342,83,100,225,36,4,3
USER001,2025-08-26,8.13,20.0,25.5,4,97.5,0.73,7.19,5,200,97,82,77,50,5,6
USER001,2025-08-27,6.92,28.8,34.5,2,92.5,1.33,6.44,2,332,69,79,56,38,3,5
USER001,2025-08-28,8.5,31.4,18.6,2,93.5,0.93,4.39,6,230,71,78,80,6,2,8
USER001,2025-08-29,7.54,29.7,27.1,3,95.9,1.3,3.26,8,249,84,100,155,9,2,6
USER001,2025-08-30,9.1,27.5,23.6,0,94.9,2.36,4.18,0,200,72,100,55,2,1,5
USER001,2025-08-31,8.1,17.0,38.0,3,94.4,2.58,4.03,3,322,100,81,70,7,4,6
USER001,2025-09-01,7.38,26.4,28.2,1,94.8,1.01,4.91,6,219,82,100,326,35,2,6
USER001,2025-09-02,5.87,21.0,19.1,1,89.4,1.08,2.17,3,310,69,62,153,57,5,4
USER001,2025-09-03,8.49,14.4,21.5,2,94.8,0.89,7.38,4,298,87,85,60,25,2,4
USER001,2025-09-04,8.8,24.4,26.3,3,96.2,0.79,4.39,1,280,81,84,129,1,5,6
USER001,2025-09-05,8.72,22.1,29.9,2,94.0,1.43,5.84,6,249,75,94,12,19,5,7
USER001,2025-09-06,9.09,33.4,24.6,4,87.0,1.01,5.98,6,249,84,94,74,13,5,4
USER001,2025-09-07,8.66,16.5,25.2,3,98.1,1.42,4.31,1,200,66,86,18,2,5,6
USER001,2025-09-08,7.59,15.4,29.3,2,97.7,1.02,7.07,3,203,90,92,5,1,3,4
USER001,2025-09-09,8.08,19.6,30.3,3,97.5,0.58,7.39,2,250,77,86,85,13,5,8
USER001,2025-09-10,9.38,17.5,23.0,5,99.1,0.67,5.81,3,292,84,64,35,29,4,6
USER001,2025-09-11,6.77,27.8,22.2,2,88.0,1.23,2.15,3,352,62,85,84,0,2,7
USER001,2025-09-12,9.83,17.2,34.7,1,97.1,1.02,4.87,3,342,83,84,35,15,5,6
USER001,2025-09-13,8.98,22.7,35.6,1,98.3,1.45,6.6,6,266,99,87,118,60,3,5
USER001,2025-09-14,9.18,28.8,19.5,4,96.9,2.02,6.86,4,333,86,91,65,0,4,6
USER001,2025-09-15,9.17,33.7,23.0,2,96.7,0.55,6.3,3,217,75,82,13,8,3,6
USER001,2025-09-16,8.78,22.7,28.4,2,96.4,1.19,5.57,2,235,97,76,48,10,6,4
USER001,2025-09-17,7.92,22.5,18.3,2,86.9,0.58,5.28,4,283,68,91,125,36,5,8
USER001,2025-09-18,7.41,25.0,35.2,2,95.8,1.22,5.34,3,242,86,88,88,19,5,7
USER001,2025-09-19,8.62,30.3,37.9,2,90.2,0.77,5.56,3,200,77,100,25,3,4,6
USER001,2025-09-20,9.25,33.8,33.8,3,95.6,1.62,6.81,4,200,82,87,299,22,3,6
USER001,2025-09-21,10.52,21.3,35.5,0,94.3,1.17,5.93,1,434,84,74,38,10,4,7
USER001,2025-09-22,7.06,28.0,14.1,0,99.0,1.19,5.68,6,374,82,77,77,9,5,5
USER001,2025-09-23,5.6,20.3,16.4,1,99.4,0.57,5.28,1,278,70,76,44,17,3,5
