course_id,course_name,category,difficulty,duration_hours,num_modules,avg_rating,num_enrollments
CRS0001,Mobile App Development Beginner,Programming,Beginner,8.7,5,3.81,332
CRS0002,Mobile App Development Intermediate,Programming,Intermediate,32.7,18,4.41,114
CRS0003,JavaScript Fundamentals Beginner,Programming,Beginner,9.3,5,4.53,228
CRS0004,Mobile App Development Advanced,Programming,Advanced,63.7,36,4.52,676
CRS0005,Python Basics Advanced,Programming,Advanced,52.2,30,4.59,107
CRS0006,Python Basics Beginner,Programming,Beginner,5.3,3,3.28,64
CRS0007,JavaScript Fundamentals Beginner,Programming,Beginner,14.7,12,3.92,65
CRS0008,Web Development Beginner,Programming,Beginner,5.5,7,4.62,118
CRS0009,JavaScript Fundamentals Advanced,Programming,Advanced,43.0,26,4.01,55
CRS0010,C++ Programming Beginner,Programming,Beginner,8.6,8,3.17,79
CRS0011,Web Development Intermediate,Programming,Intermediate,30.9,16,4.06,123
CRS0012,Full Stack Development Beginner,Programming,Beginner,12.7,10,4.23,146
CRS0013,Java Advanced Intermediate,Programming,Intermediate,27.7,15,4.77,55
CRS0014,JavaScript Fundamentals Intermediate,Programming,Intermediate,19.0,10,3.86,64
CRS0015,Python Basics Intermediate,Programming,Intermediate,28.5,15,3.87,94
CRS0016,Java Advanced Intermediate,Programming,Intermediate,36.5,23,3.11,81
CRS0017,Java Advanced Beginner,Programming,Beginner,14.4,11,3.24,71
CRS0018,Web Development Beginner,Programming,Beginner,10.0,8,4.49,74
CRS0019,Python Basics Advanced,Programming,Advanced,45.8,25,4.36,210
CRS0020,Full Stack Development Advanced,Programming,Advanced,54.7,32,3.98,282
CRS0021,Full Stack Development Intermediate,Programming,Intermediate,19.7,14,4.26,68
CRS0022,JavaScript Fundamentals Advanced,Programming,Advanced,67.6,34,4.47,58
CRS0023,Python Basics Advanced,Programming,Advanced,50.3,27,4.27,70
CRS0024,Full Stack Development Intermediate,Programming,Intermediate,37.4,19,3.15,405
CRS0025,Full Stack Development Beginner,Programming,Beginner,13.9,7,3.93,156
CRS0026,C++ Programming Intermediate,Programming,Intermediate,19.0,13,3.92,69
