enrollment_id,learner_id,course_id,enroll_date,completion_date,is_completed,progress_pct,time_spent_hours,video_watch_pct,quiz_score_avg,num_quiz_attempts,assignments_completed,user_rating,days_to_complete
ENR000001,LRN00001,CRS0029,2024-06-21,,0,37,11.5,34.2,83.1,1,4,,
ENR000002,LRN00001,CRS0034,2024-02-05,,0,19,12.4,11.2,,0,5,,
ENR000003,LRN00002,CRS0080,2024-02-06,,0,24,5.9,18.0,70.4,1,2,,
ENR000004,LRN00003,CRS0039,2026-02-15,2026-04-04,1,100,72.2,100.0,36.7,5,29,4.1,48.0
ENR000005,LRN00004,CRS0046,2025-08-08,,0,44,9.0,39.5,68.1,2,3,,
ENR000006,LRN00004,CRS0176,2025-09-25,,0,31,1.1,25.5,62.2,1,1,,
ENR000007,LRN00004,CRS0009,2026-01-05,,0,34,14.4,29.3,54.7,1,7,,
ENR000008,LRN00005,CRS0155,2025-03-04,2025-04-29,1,100,60.6,100.0,38.5,5,24,4.7,56.0
ENR000009,LRN00006,CRS0073,2024-03-29,,0,35,10.6,43.3,38.2,1,5,,
ENR000010,LRN00006,CRS0095,2024-03-16,,0,41,27.4,54.8,36.0,2,12,,
ENR000011,LRN00006,CRS0093,2024-02-22,,0,52,13.2,45.7,48.7,2,7,,
ENR000012,LRN00006,CRS0112,2024-02-05,,0,37,2.7,26.6,58.4,1,1,,
ENR000013,LRN00006,CRS0164,2024-01-17,,0,14,3.7,18.5,,0,1,,
ENR000014,LRN00006,CRS0146,2024-05-19,,0,3,0.2,0.0,,0,0,,
ENR000015,LRN00006,CRS0122,2023-12-27,,0,15,7.6,13.5,,0,5,,
ENR000016,LRN00006,CRS0010,2024-04-05,,0,30,2.5,41.5,79.1,1,1,,
ENR000017,LRN00006,CRS0115,2024-03-01,,0,22,6.2,26.5,65.7,1,3,,
ENR000018,LRN00006,CRS0028,2024-01-01,,0,58,8.5,49.6,42.8,2,5,,
ENR000019,LRN00006,CRS0139,2024-04-14,,0,10,3.0,11.8,,0,1,,
ENR000020,LRN00006,CRS0132,2024-04-25,,0,26,2.3,14.0,87.7,1,2,,
ENR000021,LRN00006,CRS0153,2023-12-14,,0,24,15.7,27.9,71.0,1,6,,
ENR000022,LRN00006,CRS0129,2024-01-23,,0,33,7.1,45.9,87.7,1,2,,
ENR000023,LRN00006,CRS0048,2024-01-10,2024-11-01,1,100,66.4,90.3,65.1,5,23,4.1,296.0
ENR000024,LRN00007,CRS0020,2025-06-28,,0,7,2.5,13.5,,0,1,,
ENR000025,LRN00007,CRS0009,2025-05-21,,0,19,6.4,14.7,,0,3,,
ENR000026,LRN00007,CRS0198,2025-09-24,,0,29,6.8,42.7,46.2,1,3,,
ENR000027,LRN00008,CRS0006,2025-07-20,,0,8,0.2,0.0,,0,0,,
ENR000028,LRN00009,CRS0160,2024-03-19,,0,26,12.1,27.0,59.5,1,6,,
ENR000029,LRN00009,CRS0072,2024-01-30,,0,46,11.8,36.8,70.6,2,6,,
ENR000030,LRN00010,CRS0200,2024-08-01,,0,29,8.0,31.6,26.0,1,4,,
ENR000031,LRN00011,CRS0130,2024-09-23,,0,13,1.5,17.4,,0,1,,
ENR000032,LRN00011,CRS0144,2024-09-13,,0,30,16.5,35.1,82.5,1,9,,
ENR000033,LRN00011,CRS0070,2024-08-05,2024-09-02,1,100,9.3,92.8,58.1,5,7,4.0,28.0
ENR000034,LRN00011,CRS0127,2024-10-29,,0,41,7.7,33.9,47.0,2,6,,
ENR000035,LRN00011,CRS0142,2024-07-01,,0,22,5.8,20.3,60.2,1,2,,
ENR000036,LRN00011,CRS0121,2024-12-05,,0,52,5.3,46.7,60.9,2,4,,
ENR000037,LRN00011,CRS0146,2024-11-14,,0,23,2.3,36.1,77.8,1,0,,
ENR000038,LRN00011,CRS0141,2024-07-01,,0,55,23.3,64.6,41.7,2,16,,
ENR000039,LRN00012,CRS0146,2025-05-23,,0,34,3.6,30.5,66.0,1,1,,
ENR000040,LRN00012,CRS0079,2025-04-19,,0,30,4.1,24.5,61.5,1,2,,
ENR000041,LRN00013,CRS0102,2025-01-03,,0,16,10.5,28.2,,0,4,,
ENR000042,LRN00013,CRS0178,2024-09-05,,0,9,1.7,23.9,,0,1,,
ENR000043,LRN00013,CRS0060,2024-09-21,,0,13,6.1,20.4,,0,3,,
ENR000044,LRN00013,CRS0181,2024-08-17,,0,30,13.1,40.6,55.0,1,6,,
ENR000045,LRN00013,CRS0189,2024-09-08,,0,16,13.7,9.9,,0,5,,
ENR000046,LRN00013,CRS0184,2025-01-04,,0,36,25.9,31.1,58.2,1,9,,
ENR000047,LRN00013,CRS0183,2024-08-21,,0,24,7.7,26.2,50.2,1,5,,
ENR000048,LRN00013,CRS0069,2024-09-13,,0,19,1.5,10.7,,0,1,,
ENR000049,LRN00013,CRS0078,2024-10-17,,0,4,2.0,6.8,,0,1,,
ENR000050,LRN00013,CRS0171,2024-08-05,2024-11-22,1,100,22.6,98.0,53.7,5,11,4.3,109.0
ENR000051,LRN00013,CRS0193,2024-10-05,,0,13,5.1,5.8,,0,2,,
ENR000052,LRN00013,CRS0168,2024-09-07,,0,56,5.9,50.0,85.9,2,4,,
ENR000053,LRN00013,CRS0049,2024-12-14,,0,12,7.3,14.7,,0,2,,
ENR000054,LRN00013,CRS0169,2024-07-30,2024-11-19,1,100,24.5,98.2,44.8,5,9,3.5,112.0
ENR000055,LRN00014,CRS0181,2025-02-27,,0,14,7.4,15.6,,0,2,,
ENR000056,LRN00014,CRS0123,2025-04-19,,0,49,17.2,42.2,67.8,2,11,,
ENR000057,LRN00014,CRS0011,2024-11-10,2024-11-26,1,100,29.3,97.5,53.3,5,12,3.4,16.0
ENR000058,LRN00014,CRS0035,2025-02-04,2025-02-09,1,100,11.6,100.0,58.1,5,5,4.7,5.0
ENR000059,LRN00015,CRS0104,2025-05-19,2025-05-28,1,100,6.1,97.5,47.1,5,2,3.8,9.0
ENR000060,LRN00016,CRS0086,2024-08-20,,0,42,3.2,48.8,62.3,2,2,,
ENR000061,LRN00016,CRS0138,2024-12-16,,0,45,17.7,52.7,75.4,2,13,,
ENR000062,LRN00017,CRS0125,2024-12-06,2025-03-21,1,100,99.0,99.8,58.1,5,33,3.8,105.0
ENR000063,LRN00018,CRS0010,2024-07-02,,0,19,1.5,11.5,,0,1,,
ENR000064,LRN00019,CRS0028,2025-01-01,,0,43,5.4,39.9,75.0,2,4,,
ENR000065,LRN00020,CRS0081,2024-06-07,2024-07-28,1,100,57.3,88.0,70.8,5,21,4.3,51.0
ENR000066,LRN00020,CRS0195,2024-06-08,,0,29,17.8,39.4,61.5,1,6,,
ENR000067,LRN00020,CRS0111,2024-06-03,2024-08-01,1,100,71.3,100.0,74.8,5,27,3.7,59.0
ENR000068,LRN00020,CRS0085,2024-05-09,2024-06-04,1,100,36.5,100.0,63.2,5,12,4.0,26.0
ENR000069,LRN00020,CRS0031,2024-05-05,,0,22,13.2,15.3,90.2,1,6,,
ENR000070,LRN00020,CRS0186,2024-09-06,,0,6,1.8,0.0,,0,1,,
ENR000071,LRN00020,CRS0112,2024-05-05,2024-05-10,1,100,8.0,100.0,66.4,5,4,3.8,5.0
ENR000072,LRN00020,CRS0117,2024-07-26,2024-09-15,1,100,69.8,87.3,64.4,5,28,4.1,51.0
ENR000073,LRN00020,CRS0030,2024-07-17,2024-09-15,1,100,84.8,100.0,60.1,5,32,4.2,60.0
ENR000074,LRN00020,CRS0198,2024-08-01,2024-08-20,1,100,26.3,100.0,70.8,5,12,4.5,19.0
ENR000075,LRN00020,CRS0115,2024-08-18,,0,22,3.9,23.2,45.0,1,3,,
ENR000076,LRN00020,CRS0097,2024-05-04,2024-05-15,1,100,12.2,100.0,43.8,5,6,4.5,11.0
ENR000077,LRN00020,CRS0104,2024-06-08,2024-06-13,1,100,5.6,100.0,52.4,5,2,4.9,5.0
ENR000078,LRN00020,CRS0108,2024-08-05,,0,29,8.0,34.1,94.2,1,3,,
ENR000079,LRN00020,CRS0086,2024-09-13,,0,27,1.4,41.5,66.4,1,1,,
ENR000080,LRN00021,CRS0179,2025-01-03,,0,19,2.3,15.2,,0,1,,
ENR000081,LRN00021,CRS0185,2025-04-18,,0,22,6.2,30.4,65.0,1,2,,
ENR000082,LRN00021,CRS0192,2025-05-09,,0,36,27.3,32.9,74.7,1,10,,
ENR000083,LRN00021,CRS0142,2025-01-08,,0,8,1.6,0.7,,0,0,,
ENR000084,LRN00022,CRS0097,2024-11-29,2024-12-10,1,100,13.8,100.0,54.2,5,6,4.2,11.0
