learner_id,age,primary_interest,learning_style,time_available_weekly,learning_goal,experience_level,joined_date
LRN00001,35,Programming,Theoretical,2.6,Promotion,Advanced,2023-12-30
LRN00002,26,Cloud,Theoretical,2.0,Career Switch,Beginner,2023-11-20
LRN00003,26,Business,Hands-on,10.3,Skill Enhancement,Beginner,2025-09-13
LRN00004,25,Programming,Hands-on,3.7,Certification,Advanced,2025-07-26
LRN00005,18,Design,Mixed,8.7,Promotion,Beginner,2024-09-10
LRN00006,21,Design,Mixed,1.8,Skill Enhancement,Beginner,2023-12-07
LRN00007,29,Programming,Visual,2.7,Certification,Beginner,2025-04-11
LRN00008,27,Cloud,Mixed,10.3,Career Switch,Advanced,2025-01-26
LRN00009,26,Programming,Mixed,2.3,Skill Enhancement,Intermediate,2023-11-25
LRN00010,27,Cloud,Theoretical,4.8,Certification,Advanced,2024-05-10
LRN00011,41,Design,Mixed,3.0,Skill Enhancement,Advanced,2024-06-09
LRN00012,18,Design,Theoretical,3.4,Skill Enhancement,Advanced,2024-12-29
LRN00013,36,Cloud,Mixed,1.6,Skill Enhancement,Intermediate,2024-07-15
LRN00014,24,Programming,Theoretical,15.9,Skill Enhancement,Intermediate,2024-10-30
LRN00015,23,Business,Visual,6.3,Skill Enhancement,Beginner,2025-02-14
LRN00016,34,Design,Hands-on,5.4,Skill Enhancement,Beginner,2024-08-10
LRN00017,21,Design,Theoretical,5.6,Promotion,Intermediate,2024-08-09
LRN00018,41,Programming,Hands-on,4.2,Certification,Intermediate,2024-02-18
LRN00019,29,Programming,Mixed,3.1,Certification,Beginner,2024-10-13
LRN00020,38,Business,Mixed,10.3,Certification,Advanced,2024-03-28
LRN00021,22,Cloud,Hands-on,4.0,Certification,Beginner,2025-01-02
LRN00022,24,Design,Mixed,10.2,Career Switch,Intermediate,2024-10-29
LRN00023,33,Design,Hands-on,7.6,Certification,Beginner,2024-01-10
LRN00024,38,Cloud,Visual,4.3,Certification,Advanced,2024-03-10
LRN00025,25,Programming,Visual,7.7,Certification,Beginner,2024-06-23
LRN00026,37,Data Science,Visual,3.5,Personal Interest,Intermediate,2024-11-07
LRN00027,35,Data Science,Mixed,11.6,Personal Interest,Intermediate,2024-09-15
LRN00028,42,Business,Mixed,7.3,Personal Interest,Beginner,2024-06-14
LRN00029,36,Programming,Visual,7.4,Personal Interest,Beginner,2023-12-13
LRN00030,26,Programming,Visual,2.6,Career Switch,Beginner,2025-03-18
LRN00031,18,Programming,Hands-on,7.5,Skill Enhancement,Beginner,2024-06-11
LRN00032,29,Programming,Hands-on,4.6,Certification,Advanced,2025-01-19
LRN00033,25,Business,Hands-on,2.0,Promotion,Advanced,2025-06-13
LRN00034,35,Data Science,Theoretical,4.8,Career Switch,Advanced,2025-09-12
LRN00035,30,Business,Mixed,10.4,Certification,Advanced,2025-03-19
LRN00036,26,Programming,Hands-on,7.8,Career Switch,Advanced,2024-12-04
LRN00037,37,Cloud,Visual,6.5,Promotion,Beginner,2024-10-18
LRN00038,28,Cloud,Mixed,6.7,Personal Interest,Beginner,2024-05-08
LRN00039,22,Business,Visual,5.4,Certification,Intermediate,2025-06-22
LRN00040,18,Design,Theoretical,6.4,Certification,Advanced,2025-05-05
LRN00041,41,Design,Hands-on,1.2,Promotion,Advanced,2025-01-05
LRN00042,28,Cloud,Mixed,8.2,Certification,Intermediate,2024-02-10
LRN00043,31,Business,Theoretical,3.5,Skill Enhancement,Beginner,2024-12-27
LRN00044,31,Design,Hands-on,4.7,Certification,Advanced,2024-01-23
LRN00045,21,Design,Theoretical,6.2,Career Switch,Intermediate,2024-11-10
LRN00046,18,Data Science,Mixed,2.3,Skill Enhancement,Intermediate,2025-01-17
LRN00047,31,Business,Theoretical,6.3,Promotion,Advanced,2024-12-30
LRN00048,39,Cloud,Visual,3.2,Promotion,Beginner,2025-07-13
LRN00049,33,Data Science,Mixed,1.9,Certification,Advanced,2025-02-04
LRN00050,19,Design,Mixed,8.1,Certification,Beginner,2025-07-05
LRN00051,25,Business,Hands-on,3.1,Certification,Advanced,2025-02-01
LRN00052,18,Business,Theoretical,6.1,Certification,Advanced,2024-04-13
LRN00053,35,Business,Mixed,12.9,Promotion,Intermediate,2024-10-13
LRN00054,21,Design,Theoretical,1.7,Personal Interest,Intermediate,2025-02-14
LRN00055,38,Programming,Hands-on,5.9,Personal Interest,Beginner,2024-04-08
LRN00056,21,Data Science,Hands-on,3.7,Skill Enhancement,Advanced,2024-05-31
LRN00057,29,Business,Theoretical,14.0,Career Switch,Beginner,2024-12-09
LRN00058,43,Data Science,Theoretical,9.4,Skill Enhancement,Intermediate,2025-09-24
LRN00059,32,Cloud,Hands-on,5.3,Personal Interest,Beginner,2025-08-14
LRN00060,38,Cloud,Theoretical,4.8,Skill Enhancement,Advanced,2024-05-24
LRN00061,24,Programming,Visual,9.1,Promotion,Intermediate,2024-06-15
LRN00062,33,Design,Mixed,2.4,Personal Interest,Beginner,2025-08-17
LRN00063,26,Business,Mixed,3.0,Career Switch,Beginner,2024-08-24
LRN00064,26,Design,Visual,7.7,Promotion,Advanced,2025-08-15
LRN00065,19,Data Science,Hands-on,14.0,Promotion,Intermediate,2025-07-13
LRN00066,25,Data Science,Visual,6.2,Promotion,Intermediate,2024-01-27
LRN00067,25,Cloud,Hands-on,9.7,Promotion,Intermediate,2024-07-04
LRN00068,18,Design,Theoretical,6.6,Promotion,Intermediate,2024-11-30
LRN00069,29,Cloud,Visual,1.4,Promotion,Advanced,2025-06-29
LRN00070,36,Data Science,Hands-on,4.7,Personal Interest,Advanced,2025-07-17
LRN00071,32,Data Science,Hands-on,3.8,Skill Enhancement,Advanced,2025-07-24
LRN00072,19,Data Science,Visual,5.2,Certification,Intermediate,2024-02-08
LRN00073,27,Design,Theoretical,13.5,Career Switch,Beginner,2024-12-17
LRN00074,35,Business,Mixed,8.3,Career Switch,Advanced,2025-02-11
LRN00075,20,Business,Hands-on,6.4,Certification,Beginner,2024-03-30
LRN00076,30,Data Science,Hands-on,5.7,Personal Interest,Beginner,2025-07-27
LRN00077,27,Programming,Hands-on,4.7,Personal Interest,Advanced,2024-03-05
LRN00078,30,Business,Mixed,4.6,Career Switch,Intermediate,2024-12-01
LRN00079,35,Design,Theoretical,3.1,Promotion,Advanced,2024-05-21
LRN00080,23,Design,Visual,5.3,Promotion,Beginner,2024-07-23
LRN00081,18,Business,Theoretical,8.8,Career Switch,Beginner,2025-02-16
LRN00082,29,Cloud,Visual,5.6,Personal Interest,Advanced,2025-08-28
LRN00083,18,Data Science,Mixed,3.8,Promotion,Advanced,2024-07-13
LRN00084,19,Business,Hands-on,7.4,Promotion,Intermediate,2023-12-28
LRN00085,31,Design,Visual,5.2,Certification,Intermediate,2024-08-16
LRN00086,21,Business,Theoretical,4.4,Career Switch,Beginner,2024-11-05
LRN00087,22,Design,Mixed,3.1,Personal Interest,Advanced,2024-08-24
LRN00088,36,Cloud,Visual,19.6,Certification,Beginner,2024-11-20
