employee_id,personality_type,work_style,seniority,technical_skill,communication_skill,leadership_skill,years_experience,collaboration_score
EMP0001,Analytical,Independent,Mid,45.2,53.1,42.4,0.4,80.3
EMP0002,Expressive,Collaborative,Mid,53.8,65.0,56.0,3.3,81.4
EMP0003,Driver,Collaborative,Junior,33.3,54.1,50.5,1.5,50.6
EMP0004,Analytical,Independent,Senior,81.9,67.3,33.3,8.3,79.0
EMP0005,Amiable,Independent,Senior,92.0,31.9,56.3,3.5,56.9
EMP0006,Analytical,Independent,Senior,73.0,80.9,36.6,4.7,58.9
EMP0007,Driver,Collaborative,Lead,90.5,85.9,50.5,5.3,60.9
EMP0008,Analytical,Collaborative,Senior,52.7,44.2,77.3,2.8,49.4
EMP0009,Amiable,Collaborative,Senior,71.8,51.7,35.6,1.4,70.3
EMP0010,Amiable,Structured,Junior,71.1,31.9,61.9,6.3,70.9
EMP0011,Analytical,Collaborative,Junior,58.9,74.9,70.8,2.1,77.1
EMP0012,Amiable,Structured,Manager,81.1,40.9,36.9,4.4,82.9
EMP0013,Expressive,Collaborative,Senior,33.9,63.3,60.5,4.6,67.4
EMP0014,Driver,Structured,Mid,43.6,50.1,65.3,5.9,76.9
EMP0015,Analytical,Independent,Senior,57.6,83.1,20.4,4.8,44.1
EMP0016,Amiable,Independent,Mid,63.4,48.8,90.2,2.0,91.7
EMP0017,Expressive,Structured,Mid,35.7,60.5,12.1,5.9,75.0
EMP0018,Expressive,Independent,Senior,73.9,60.4,58.1,2.8,66.2
EMP0019,Amiable,Independent,Mid,81.5,51.1,32.3,3.4,37.7
EMP0020,Amiable,Independent,Junior,59.4,71.4,23.7,3.7,78.4
EMP0021,Expressive,Structured,Junior,55.7,79.6,23.5,0.8,82.4
EMP0022,Driver,Independent,Junior,59.1,55.4,46.5,4.0,61.6
EMP0023,Analytical,Collaborative,Mid,53.1,49.1,59.4,0.9,61.8
EMP0024,Expressive,Independent,Lead,62.9,40.2,30.4,4.0,74.3
EMP0025,Driver,Independent,Junior,86.0,79.5,38.8,9.1,74.2
EMP0026,Amiable,Structured,Junior,52.6,91.3,33.2,9.5,80.1
EMP0027,Amiable,Structured,Manager,47.9,63.9,30.5,3.3,68.0
EMP0028,Driver,Structured,Mid,75.6,52.2,45.1,2.8,83.4
EMP0029,Expressive,Collaborative,Senior,65.8,67.4,55.0,2.2,66.8
EMP0030,Expressive,Independent,Lead,68.1,76.4,32.1,6.7,44.4
EMP0031,Driver,Collaborative,Junior,65.5,65.3,51.7,2.8,65.7
EMP0032,Driver,Flexible,Junior,82.7,78.4,58.5,2.2,50.7
EMP0033,Amiable,Structured,Senior,68.1,80.4,39.8,9.3,53.8
EMP0034,Driver,Structured,Senior,40.9,79.1,22.2,4.9,62.7
EMP0035,Analytical,Collaborative,Lead,81.6,45.7,58.8,2.3,74.9
EMP0036,Analytical,Structured,Senior,75.0,82.0,31.1,1.0,76.1
EMP0037,Amiable,Structured,Mid,28.0,66.2,27.1,4.3,79.6
EMP0038,Analytical,Collaborative,Mid,78.4,69.3,60.2,3.9,69.5
EMP0039,Expressive,Collaborative,Junior,56.6,53.5,40.8,14.2,37.7
EMP0040,Amiable,Flexible,Mid,30.8,80.2,25.3,8.0,86.2
EMP0041,Amiable,Collaborative,Senior,81.9,82.5,73.5,1.1,90.8
EMP0042,Expressive,Collaborative,Mid,74.4,76.0,43.2,7.4,65.3
EMP0043,Driver,Structured,Mid,62.8,45.8,18.4,3.0,52.7
EMP0044,Amiable,Flexible,Junior,93.2,40.1,41.4,1.4,43.3
