interaction_id,team_id,employee_1,employee_2,interaction_type,date,duration_minutes,quality_score
INT000001,TEAM001,EMP0431,EMP0477,Pair Programming,2025-06-28,5,6.2
INT000002,TEAM001,EMP0431,EMP0477,Pair Programming,2025-10-18,3,7.3
INT000003,TEAM001,EMP0431,EMP0477,Mentoring,2025-09-18,44,7.6
INT000004,TEAM001,EMP0431,EMP0477,Pair Programming,2025-06-19,5,7.2
INT000005,TEAM001,EMP0431,EMP0123,Collaboration,2025-08-22,42,6.7
INT000006,TEAM001,EMP0431,EMP0123,Meeting,2025-06-24,41,6.3
INT000007,TEAM001,EMP0431,EMP0123,Mentoring,2025-07-02,71,8.1
INT000008,TEAM001,EMP0477,EMP0123,Code Review,2025-06-12,58,4.9
INT000009,TEAM001,EMP0477,EMP0123,Mentoring,2025-09-25,88,4.9
INT000010,TEAM001,EMP0477,EMP0123,Mentoring,2025-06-01,48,7.4
INT000011,TEAM001,EMP0477,EMP0123,Pair Programming,2025-06-06,33,5.0
INT000012,TEAM001,EMP0477,EMP0123,Meeting,2025-06-16,74,6.9
INT000013,TEAM002,EMP0386,EMP0495,Mentoring,2025-10-27,9,6.3
INT000014,TEAM002,EMP0386,EMP0495,Pair Programming,2025-06-13,22,8.0
INT000015,TEAM002,EMP0386,EMP0495,Code Review,2025-05-25,17,6.1
INT000016,TEAM003,EMP0128,EMP0410,Meeting,2025-05-28,33,4.7
INT000017,TEAM003,EMP0128,EMP0410,Mentoring,2025-07-03,26,7.9
INT000018,TEAM003,EMP0128,EMP0410,Pair Programming,2025-06-21,3,5.5
INT000019,TEAM003,EMP0128,EMP0410,Pair Programming,2025-05-27,11,5.3
INT000020,TEAM003,EMP0128,EMP0234,Discussion,2025-05-16,11,7.1
INT000021,TEAM003,EMP0128,EMP0234,Discussion,2025-08-23,12,7.9
INT000022,TEAM003,EMP0128,EMP0234,Mentoring,2025-10-20,45,7.8
INT000023,TEAM003,EMP0128,EMP0234,Code Review,2025-10-23,58,8.7
INT000024,TEAM003,EMP0128,EMP0234,Discussion,2025-07-18,5,6.8
INT000025,TEAM003,EMP0410,EMP0234,Pair Programming,2025-09-16,7,6.4
INT000026,TEAM003,EMP0410,EMP0234,Code Review,2025-06-05,41,6.5
INT000027,TEAM003,EMP0410,EMP0234,Brainstorming,2025-08-19,9,4.9
INT000028,TEAM003,EMP0410,EMP0234,Mentoring,2025-08-18,47,4.0
INT000029,TEAM003,EMP0410,EMP0234,Discussion,2025-08-11,18,7.6
INT000030,TEAM004,EMP0500,EMP0395,Collaboration,2025-08-05,7,8.1
INT000031,TEAM004,EMP0500,EMP0395,Meeting,2025-06-17,111,7.0
INT000032,TEAM004,EMP0500,EMP0395,Code Review,2025-08-18,34,9.7
INT000033,TEAM004,EMP0500,EMP0395,Meeting,2025-07-11,55,6.4
INT000034,TEAM004,EMP0500,EMP0395,Discussion,2025-08-31,15,5.5
INT000035,TEAM004,EMP0500,EMP0334,Meeting,2025-10-14,21,8.1
INT000036,TEAM004,EMP0500,EMP0334,Discussion,2025-08-25,12,8.5
INT000037,TEAM004,EMP0500,EMP0334,Discussion,2025-06-03,12,6.1
INT000038,TEAM004,EMP0500,EMP0444,Brainstorming,2025-09-28,33,7.3
INT000039,TEAM004,EMP0500,EMP0444,Collaboration,2025-08-16,4,5.9
INT000040,TEAM004,EMP0500,EMP0444,Code Review,2025-08-19,31,8.5
INT000041,TEAM004,EMP0500,EMP0444,Discussion,2025-09-28,12,7.0
INT000042,TEAM004,EMP0500,EMP0144,Discussion,2025-08-21,12,5.2
INT000043,TEAM004,EMP0500,EMP0144,Meeting,2025-11-02,49,5.7
INT000044,TEAM004,EMP0500,EMP0144,Collaboration,2025-07-30,33,8.6
INT000045,TEAM004,EMP0500,EMP0164,Code Review,2025-09-07,29,7.4
INT000046,TEAM004,EMP0500,EMP0164,Pair Programming,2025-06-11,14,8.1
INT000047,TEAM004,EMP0500,EMP0150,Discussion,2025-08-27,6,5.6
INT000048,TEAM004,EMP0500,EMP0150,Brainstorming,2025-06-08,2,7.5
INT000049,TEAM004,EMP0500,EMP0150,Mentoring,2025-05-24,38,6.3
INT000050,TEAM004,EMP0500,EMP0150,Pair Programming,2025-07-10,3,8.0
INT000051,TEAM004,EMP0500,EMP0150,Meeting,2025-06-23,36,5.6
INT000052,TEAM004,EMP0500,EMP0150,Discussion,2025-10-11,32,6.6
INT000053,TEAM004,EMP0500,EMP0396,Mentoring,2025-09-01,96,8.8
INT000054,TEAM004,EMP0500,EMP0396,Brainstorming,2025-08-06,20,7.7
INT000055,TEAM004,EMP0500,EMP0396,Pair Programming,2025-07-27,21,8.6
INT000056,TEAM004,EMP0500,EMP0254,Collaboration,2025-10-25,9,7.9
INT000057,TEAM004,EMP0500,EMP0254,Code Review,2025-06-17,59,7.0
INT000058,TEAM004,EMP0500,EMP0254,Collaboration,2025-08-07,7,5.2
INT000059,TEAM004,EMP0500,EMP0254,Meeting,2025-08-26,20,7.4
INT000060,TEAM004,EMP0500,EMP0254,Collaboration,2025-08-01,14,5.4
INT000061,TEAM004,EMP0500,EMP0254,Brainstorming,2025-07-15,2,7.3
INT000062,TEAM004,EMP0500,EMP0254,Pair Programming,2025-06-20,44,4.9
INT000063,TEAM004,EMP0500,EMP0207,Discussion,2025-10-14,12,7.2
INT000064,TEAM004,EMP0500,EMP0207,Brainstorming,2025-08-04,3,7.1
INT000065,TEAM004,EMP0500,EMP0207,Collaboration,2025-08-13,20,5.5
INT000066,TEAM004,EMP0395,EMP0126,Discussion,2025-06-30,20,7.4
INT000067,TEAM004,EMP0395,EMP0126,Meeting,2025-07-02,22,7.6
INT000068,TEAM004,EMP0395,EMP0144,Mentoring,2025-10-03,50,7.0
INT000069,TEAM004,EMP0395,EMP0144,Brainstorming,2025-08-14,8,7.4
INT000070,TEAM004,EMP0395,EMP0144,Collaboration,2025-07-09,2,4.0
INT000071,TEAM004,EMP0395,EMP0144,Code Review,2025-07-14,19,7.2
INT000072,TEAM004,EMP0395,EMP0144,Collaboration,2025-06-05,10,4.8
