member_id,team_id,employee_id,role,join_date,is_active
MEM00001,TEAM001,EMP0431,Technical Lead,2023-12-07,1
MEM00002,TEAM001,EMP0477,Team Member,2023-12-07,1
MEM00003,TEAM001,EMP0123,Team Member,2023-12-07,1
MEM00004,TEAM002,EMP0386,Team Member,2024-09-02,1
MEM00005,TEAM002,EMP0381,Team Member,2024-09-02,1
MEM00006,TEAM002,EMP0495,Team Member,2024-09-02,1
MEM00007,TEAM003,EMP0128,Team Member,2024-01-09,1
MEM00008,TEAM003,EMP0410,Team Member,2024-01-09,1
MEM00009,TEAM003,EMP0234,Technical Lead,2024-01-09,1
MEM00010,TEAM004,EMP0500,Team Member,2024-01-20,1
MEM00011,TEAM004,EMP0395,Team Member,2024-01-20,1
MEM00012,TEAM004,EMP0334,Team Member,2024-01-20,1
MEM00013,TEAM004,EMP0444,Team Member,2024-01-20,1
MEM00014,TEAM004,EMP0126,Team Member,2024-01-20,1
MEM00015,TEAM004,EMP0144,Team Member,2024-01-20,1
MEM00016,TEAM004,EMP0164,Technical Lead,2024-01-20,1
MEM00017,TEAM004,EMP0150,Team Lead,2024-01-20,0
MEM00018,TEAM004,EMP0396,Team Member,2024-01-20,1
MEM00019,TEAM004,EMP0254,Team Lead,2024-01-20,1
MEM00020,TEAM004,EMP0478,Team Member,2024-01-20,1
MEM00021,TEAM004,EMP0366,Technical Lead,2024-01-20,1
MEM00022,TEAM004,EMP0488,Team Member,2024-01-20,1
MEM00023,TEAM004,EMP0207,Technical Lead,2024-01-20,1
MEM00024,TEAM005,EMP0248,Team Member,2024-12-14,1
MEM00025,TEAM005,EMP0362,Team Lead,2024-12-14,0
MEM00026,TEAM005,EMP0277,Team Member,2024-12-14,1
MEM00027,TEAM005,EMP0409,Team Member,2024-12-14,0
MEM00028,TEAM005,EMP0430,Team Member,2024-12-14,1
MEM00029,TEAM005,EMP0292,Team Member,2024-12-14,1
MEM00030,TEAM005,EMP0016,Team Member,2024-12-14,1
MEM00031,TEAM006,EMP0459,Senior Member,2023-12-08,1
MEM00032,TEAM006,EMP0252,Team Member,2023-12-08,1
MEM00033,TEAM006,EMP0223,Team Lead,2023-12-08,1
MEM00034,TEAM006,EMP0341,Team Member,2023-12-08,1
MEM00035,TEAM007,EMP0025,Team Member,2025-03-14,1
MEM00036,TEAM007,EMP0138,Technical Lead,2025-03-14,1
MEM00037,TEAM007,EMP0222,Team Member,2025-03-14,1
MEM00038,TEAM007,EMP0028,Team Member,2025-03-14,1
MEM00039,TEAM007,EMP0288,Team Member,2025-03-14,1
MEM00040,TEAM007,EMP0345,Team Member,2025-03-14,1
MEM00041,TEAM007,EMP0196,Team Member,2025-03-14,1
MEM00042,TEAM007,EMP0360,Team Member,2025-03-14,0
MEM00043,TEAM007,EMP0468,Team Member,2025-03-14,1
