team_id,performance_score,velocity,quality_score,innovation_score,avg_technical_skill,avg_communication_skill,avg_collaboration_score,personality_diversity,seniority_diversity,avg_interaction_quality,total_interactions
TEAM001,63.2,33,62.7,58.3,75.2,57.9,87.0,0.5,0.4,6.54,12
TEAM002,83.8,49,82.8,55.7,66.9,82.5,69.8,0.5,0.4,6.8,3
TEAM003,70.5,35,69.6,52.1,66.5,71.6,72.9,0.5,0.6,6.51,14
TEAM004,73.0,34,73.5,91.1,68.2,67.5,60.6,1.0,1.0,6.91,254
TEAM005,56.5,25,57.5,79.5,65.8,54.8,80.1,0.75,0.6,6.85,70
TEAM006,66.3,42,69.6,77.3,61.7,60.7,85.4,0.75,0.6,6.81,16
TEAM007,84.6,42,84.6,92.4,63.5,65.9,64.4,1.0,0.6,7.13,118
TEAM008,99.2,56,96.6,91.8,66.5,73.7,68.4,1.0,0.8,6.9,64
TEAM009,59.1,24,58.2,99.2,49.0,61.6,70.9,1.0,0.6,7.16,21
TEAM010,84.1,47,83.5,96.9,65.0,66.5,72.4,1.0,0.6,7.12,71
TEAM011,66.2,34,68.2,73.6,69.6,62.5,64.7,0.75,0.4,5.98,12
TEAM012,58.0,26,59.5,75.0,62.5,67.2,57.1,0.75,0.6,7.19,35
TEAM013,66.3,28,66.0,58.5,45.6,54.1,80.2,0.5,0.6,6.91,11
TEAM014,63.3,26,65.1,76.1,64.3,65.9,70.7,0.75,0.8,6.75,44
TEAM015,74.0,38,75.9,55.5,71.6,60.9,68.2,0.5,0.4,6.16,12
TEAM016,55.9,34,56.4,59.1,57.8,52.2,61.7,0.5,0.2,6.95,14
TEAM017,52.6,31,54.1,56.9,61.9,68.6,59.7,0.5,0.8,7.08,21
TEAM018,59.5,29,59.2,77.5,62.1,74.5,60.8,0.75,0.6,7.18,5
TEAM019,62.2,20,64.8,77.5,65.8,47.4,58.6,0.75,0.4,6.68,6
TEAM020,82.0,43,79.5,73.7,57.0,72.0,66.7,0.75,0.8,7.07,70
TEAM021,57.6,28,58.1,32.3,65.4,82.6,75.0,0.25,0.4,6.73,10
TEAM022,61.4,22,63.1,51.2,64.8,64.5,59.6,0.5,0.4,6.78,12
TEAM023,75.9,42,76.3,79.9,73.0,74.5,70.6,0.75,0.6,7.28,14
TEAM024,73.8,37,72.9,92.4,53.7,63.7,67.2,1.0,0.6,7.0,150
TEAM025,82.3,57,80.2,97.0,55.0,54.7,67.7,1.0,0.6,6.81,38
TEAM026,77.6,36,77.2,79.8,46.9,49.4,67.8,0.75,0.4,7.37,7
TEAM027,67.7,31,68.2,58.2,64.4,66.0,72.9,0.5,0.6,7.94,5
TEAM028,79.1,42,76.7,98.2,70.2,66.0,66.7,1.0,0.8,7.05,53
TEAM029,66.5,25,68.6,72.2,73.4,50.8,72.0,0.75,0.6,7.3,5
TEAM030,71.1,31,73.9,96.0,53.2,68.4,65.2,1.0,0.6,6.91,37
TEAM031,68.9,43,70.9,79.8,56.3,61.4,64.9,0.75,0.4,6.57,3
TEAM032,44.8,28,49.6,99.7,65.5,57.2,59.4,1.0,0.8,6.81,51
TEAM033,73.2,31,74.8,95.3,66.5,63.7,65.7,1.0,0.8,6.98,110
TEAM034,81.6,35,79.8,73.5,64.9,51.6,68.0,0.75,0.6,6.89,86
TEAM035,74.2,38,75.0,98.4,62.6,73.7,61.7,1.0,0.8,7.33,45
TEAM036,73.4,29,74.0,76.2,62.6,57.9,66.7,0.75,0.4,6.62,4
TEAM037,64.5,28,64.4,96.0,66.6,62.0,61.1,1.0,1.0,7.06,180
TEAM038,55.7,22,55.3,74.0,68.1,52.8,57.5,0.75,0.6,6.7,5
TEAM039,60.5,25,60.5,73.5,68.2,58.7,77.5,0.75,0.4,6.42,9
TEAM040,77.9,44,79.0,95.8,62.2,66.9,75.1,1.0,1.0,7.1,212
TEAM041,53.0,22,52.8,77.8,54.9,55.9,62.6,0.75,0.8,7.24,63
TEAM042,75.5,40,73.3,97.6,72.0,58.0,65.1,1.0,0.8,6.96,94
TEAM043,56.8,15,60.2,96.8,58.9,55.0,71.0,1.0,0.6,6.87,66
TEAM044,67.6,31,67.3,91.2,71.3,67.1,58.6,1.0,0.8,7.12,129
TEAM045,71.3,30,70.4,78.4,55.2,56.2,62.0,0.75,0.8,7.02,55
TEAM046,52.3,24,54.1,97.1,68.4,66.0,66.0,1.0,0.6,6.97,86
TEAM047,66.6,33,69.6,90.7,62.7,61.1,65.4,1.0,0.8,6.83,85
TEAM048,69.4,42,70.0,70.7,57.5,72.4,67.8,0.75,0.4,7.26,71
TEAM049,64.1,28,67.2,35.3,59.6,45.6,83.4,0.25,0.6,6.85,10
TEAM050,67.2,32,68.9,92.8,62.0,66.1,76.4,1.0,0.4,7.02,32
