employee_id,week_number,date,burnout_score,hours_worked,workload_rating,manager_support,peer_support,sleep_quality,energy_level,stress_level,mood_score,job_satisfaction,meeting_participation,collaboration_score,missed_deadlines,sick_days,has_life_stressor
EMP0001,1,2024-11-15,0.369,51.2,7.0,6.7,7.5,6.3,6.8,2.0,6.3,6.4,8.3,7.9,0,0,0
EMP0001,2,2024-11-22,0.836,58.4,4.6,9.6,8.4,2.8,1.0,7.5,1.0,1.2,2.9,3.7,0,0,1
EMP0001,3,2024-11-29,0.967,54.7,5.9,4.2,8.2,1.2,1.0,10.0,1.0,1.0,2.4,1.1,6,0,0
EMP0001,4,2024-12-06,1.0,69.7,6.2,6.0,7.6,1.0,1.0,10.0,1.0,1.0,4.8,2.6,4,0,0
EMP0001,5,2024-12-13,1.0,50.9,3.2,8.5,7.6,1.0,1.0,9.4,1.6,1.0,1.9,1.4,1,0,0
EMP0001,6,2024-12-20,1.0,51.1,5.4,8.7,4.2,1.0,1.0,9.5,1.0,1.0,2.3,1.0,2,2,1
EMP0001,7,2024-12-27,1.0,56.6,6.3,7.7,6.7,1.2,1.0,10.0,1.8,1.0,1.0,3.2,1,0,0
EMP0001,8,2025-01-03,1.0,64.0,4.2,6.4,7.5,1.0,1.0,10.0,1.5,1.0,3.0,1.0,1,2,0
EMP0001,9,2025-01-10,1.0,66.1,9.0,7.5,9.4,1.0,1.0,10.0,1.0,1.0,2.2,1.0,3,1,0
EMP0001,10,2025-01-17,1.0,61.4,8.3,6.0,9.0,1.0,1.0,9.3,1.3,1.0,3.6,2.4,1,0,0
EMP0001,11,2025-01-24,1.0,51.8,6.7,4.2,5.3,1.5,1.0,9.2,1.0,1.0,1.1,2.5,0,1,0
EMP0001,12,2025-01-31,1.0,55.8,5.1,6.8,7.1,1.0,1.0,9.9,1.0,1.0,3.4,1.8,3,0,0
EMP0001,13,2025-02-07,1.0,61.5,5.9,6.1,7.6,1.0,1.0,8.0,1.0,1.0,1.4,1.0,1,0,0
EMP0001,14,2025-02-14,1.0,49.4,6.4,5.2,7.9,1.0,1.0,8.8,1.0,1.0,1.0,2.5,1,0,0
EMP0001,15,2025-02-21,1.0,51.9,4.5,5.9,4.8,1.0,1.0,9.6,1.8,1.0,3.3,2.9,1,0,0
EMP0001,16,2025-02-28,1.0,66.7,5.6,4.3,5.0,1.0,1.0,9.6,1.0,1.0,1.0,1.2,5,1,0
EMP0001,17,2025-03-07,1.0,61.8,5.3,8.3,8.4,1.0,1.8,8.3,1.0,1.0,3.0,2.3,2,0,0
EMP0001,18,2025-03-14,1.0,52.7,5.6,3.8,6.7,1.0,1.9,8.7,1.0,1.0,6.3,1.0,3,1,0
EMP0001,19,2025-03-21,1.0,62.9,4.4,6.6,5.5,1.0,1.0,10.0,1.6,1.0,1.0,3.2,3,0,0
EMP0001,20,2025-03-28,1.0,66.3,4.6,8.8,8.0,1.0,1.0,10.0,1.0,1.0,4.0,3.2,1,0,0
EMP0001,21,2025-04-04,1.0,58.3,6.9,10.0,7.1,1.0,1.5,9.7,1.0,1.0,2.4,3.1,1,0,0
EMP0001,22,2025-04-11,1.0,58.1,7.9,7.5,5.2,1.2,1.1,9.2,1.0,1.0,3.6,2.5,1,0,0
EMP0001,23,2025-04-18,1.0,59.4,7.1,9.2,6.3,1.0,1.0,9.9,1.0,1.0,1.0,1.0,2,0,0
EMP0001,24,2025-04-25,1.0,58.9,9.0,7.0,5.7,1.6,1.0,10.0,1.0,1.0,1.6,1.0,1,1,0
EMP0001,25,2025-05-02,1.0,63.8,8.1,6.1,3.6,1.0,1.0,9.9,1.0,1.0,2.0,1.0,0,0,1
EMP0001,26,2025-05-09,1.0,54.2,3.3,5.0,5.9,1.0,1.0,10.0,1.0,1.0,1.5,1.2,2,0,0
EMP0001,27,2025-05-16,1.0,61.0,9.2,8.8,7.3,1.0,1.4,10.0,1.0,1.0,1.0,1.2,2,0,0
EMP0001,28,2025-05-23,1.0,58.5,6.8,9.2,10.0,1.0,1.0,10.0,1.0,1.0,2.8,2.2,0,0,0
EMP0001,29,2025-05-30,1.0,60.0,5.0,6.4,10.0,1.0,1.0,9.8,1.2,1.0,2.6,1.0,1,0,0
EMP0001,30,2025-06-06,1.0,62.9,7.9,7.3,8.9,1.0,1.0,10.0,1.3,1.0,1.1,2.1,2,0,0
EMP0001,31,2025-06-13,1.0,65.5,5.1,7.4,5.2,1.0,1.0,9.9,1.0,1.0,2.0,2.1,2,1,0
EMP0001,32,2025-06-20,1.0,53.9,6.2,8.5,7.3,1.0,1.0,8.4,1.0,1.0,2.2,1.0,4,0,0
EMP0001,33,2025-06-27,1.0,66.5,5.5,6.9,5.5,1.0,1.0,9.1,1.7,1.0,1.2,2.5,1,0,0
EMP0001,34,2025-07-04,1.0,67.3,4.7,5.0,7.8,1.0,1.0,10.0,1.0,1.0,2.4,2.3,2,1,0
EMP0001,35,2025-07-11,0.987,59.0,4.8,7.6,8.9,1.0,1.0,10.0,1.0,1.0,1.0,1.9,1,0,0
EMP0001,36,2025-07-18,1.0,67.9,7.7,4.4,5.2,2.1,1.6,10.0,1.0,1.0,4.2,2.9,0,0,0
EMP0001,37,2025-07-25,1.0,52.2,7.0,8.2,6.6,1.0,1.0,10.0,3.8,1.0,1.0,2.1,1,0,0
EMP0001,38,2025-08-01,1.0,55.8,5.8,5.1,7.3,1.0,1.0,10.0,1.0,1.0,3.4,1.7,0,1,0
EMP0001,39,2025-08-08,1.0,64.2,6.2,8.2,6.1,1.0,1.0,10.0,2.0,1.0,1.0,1.3,2,0,0
EMP0001,40,2025-08-15,1.0,53.0,8.0,8.8,6.8,1.3,1.1,9.0,1.5,1.0,2.7,1.5,1,0,0
EMP0001,41,2025-08-22,1.0,55.8,9.1,7.0,8.2,1.0,1.0,10.0,1.0,1.0,1.0,2.5,3,1,0
EMP0001,42,2025-08-29,1.0,65.7,3.0,7.1,9.8,1.0,1.0,9.2,1.0,1.0,1.7,1.0,6,1,0
EMP0001,43,2025-09-05,1.0,57.4,7.5,6.1,6.4,1.0,1.0,10.0,1.0,1.0,1.0,2.4,2,1,1
EMP0001,44,2025-09-12,1.0,59.2,5.8,7.5,8.8,1.0,1.0,10.0,1.3,1.0,4.7,1.6,3,0,0
EMP0001,45,2025-09-19,1.0,62.8,6.3,8.8,7.9,1.0,2.3,10.0,1.0,1.0,4.1,2.4,1,1,0
EMP0001,46,2025-09-26,1.0,60.6,7.4,6.7,8.6,1.0,1.0,9.0,1.0,1.0,2.3,1.0,0,0,0
EMP0001,47,2025-10-03,1.0,51.3,7.5,6.8,10.0,1.0,1.0,8.4,2.6,1.0,1.0,2.9,2,1,0
EMP0001,48,2025-10-10,1.0,53.5,7.3,4.5,7.0,1.0,1.0,10.0,1.0,1.0,2.3,1.0,1,0,1
EMP0001,49,2025-10-17,1.0,56.7,4.1,4.8,9.2,1.3,1.0,9.3,1.0,1.0,2.4,2.2,4,1,0
EMP0001,50,2025-10-24,1.0,49.5,4.5,9.0,8.0,1.0,1.0,10.0,1.0,1.0,1.9,1.8,1,0,0
EMP0001,51,2025-10-31,1.0,56.0,4.6,6.3,6.4,1.0,1.3,10.0,1.0,1.0,2.3,1.0,2,0,0
EMP0001,52,2025-11-07,1.0,52.5,7.4,3.7,7.7,1.0,1.0,10.0,1.2,1.0,1.0,1.5,1,0,0
EMP0002,1,2024-11-15,0.561,52.1,5.4,6.8,6.4,4.0,4.7,5.6,4.7,2.9,5.0,5.8,1,0,1
EMP0002,2,2024-11-22,0.741,56.9,5.7,6.2,8.6,2.9,1.5,7.0,4.4,1.0,2.5,5.3,0,0,0
EMP0002,3,2024-11-29,0.972,61.0,7.6,6.3,6.8,1.0,1.1,8.6,2.0,1.0,1.0,1.7,0,0,0
EMP0002,4,2024-12-06,1.0,51.3,6.0,6.7,6.4,1.0,1.7,10.0,1.5,1.0,2.9,3.3,1,0,1
EMP0002,5,2024-12-13,1.0,49.3,7.4,7.4,4.7,1.0,1.0,10.0,1.0,1.0,2.9,1.2,2,1,0
