employee_id,baseline_burnout_risk,resilience_score,avg_weekly_hours,has_flexible_schedule,remote_work_type,department
EMP0001,0.449,0.645,57.6,0,Full Office,Sales
EMP0002,0.54,0.93,52.6,1,Full Remote,Engineering
EMP0003,0.392,0.835,35.8,0,Full Office,Product
EMP0004,0.488,0.842,43.7,0,Full Office,Operations
EMP0005,0.63,0.439,50.9,0,Full Remote,Operations
EMP0006,0.513,0.665,38.0,0,Full Office,Marketing
EMP0007,0.218,0.618,38.3,1,Hybrid,Sales
EMP0008,0.338,0.473,47.4,0,Full Office,Sales
EMP0009,0.272,0.189,45.7,0,Hybrid,HR
EMP0010,0.38,0.476,41.6,1,Full Office,Engineering
EMP0011,0.452,0.516,39.4,0,Hybrid,Engineering
EMP0012,0.693,0.611,43.7,1,Full Office,Sales
EMP0013,0.408,0.383,45.5,0,Full Remote,Operations
EMP0014,0.719,0.48,35.8,0,Full Office,Operations
EMP0015,0.716,0.606,35.0,1,Full Remote,Engineering
EMP0016,0.312,0.671,49.4,1,Hybrid,Operations
EMP0017,0.137,0.558,49.2,1,Full Office,HR
EMP0018,0.381,0.695,35.3,1,Full Remote,Operations
EMP0019,0.172,0.675,43.0,0,Full Remote,Finance
EMP0020,0.191,0.292,45.8,0,Full Office,Product
EMP0021,0.18,0.512,48.8,1,Full Office,Engineering
EMP0022,0.259,0.498,45.7,1,Full Remote,Marketing
EMP0023,0.514,0.608,49.1,1,Full Office,HR
EMP0024,0.297,0.604,46.4,0,Full Remote,Customer Success
EMP0025,0.287,0.887,41.2,0,Hybrid,Product
EMP0026,0.45,0.216,59.7,1,Full Office,Marketing
EMP0027,0.096,0.56,49.0,1,Full Remote,Operations
EMP0028,0.446,0.373,58.2,1,Full Remote,Customer Success
EMP0029,0.617,0.579,35.0,0,Hybrid,Sales
EMP0030,0.13,0.747,63.8,1,Full Remote,Sales
EMP0031,0.463,0.558,62.1,1,Hybrid,HR
EMP0032,0.275,0.618,47.9,1,Full Remote,Sales
EMP0033,0.366,0.534,40.3,1,Full Office,Customer Success
EMP0034,0.617,0.511,43.1,0,Full Office,Customer Success
EMP0035,0.444,0.74,61.7,0,Hybrid,Product
EMP0036,0.398,0.555,42.5,0,Full Remote,Engineering
EMP0037,0.575,0.726,46.9,1,Hybrid,Finance
EMP0038,0.576,0.378,35.0,1,Full Remote,Sales
EMP0039,0.57,0.558,38.4,1,Full Office,HR
EMP0040,0.233,0.511,48.8,1,Hybrid,Sales
EMP0041,0.2,0.284,38.5,0,Hybrid,Product
EMP0042,0.743,0.574,56.8,1,Full Office,Customer Success
EMP0043,0.578,0.251,44.1,1,Full Remote,Operations
EMP0044,0.5,0.472,47.5,1,Full Remote,Sales
EMP0045,0.226,0.84,47.7,1,Full Office,Engineering
EMP0046,0.243,0.852,42.8,1,Hybrid,Operations
EMP0047,0.18,0.913,42.8,1,Full Office,Product
EMP0048,0.361,0.672,51.4,1,Full Office,Sales
EMP0049,0.103,0.796,44.5,1,Full Remote,Operations
EMP0050,0.593,0.791,43.5,1,Hybrid,Sales
EMP0051,0.246,0.656,40.8,0,Hybrid,HR
EMP0052,0.348,0.239,37.1,1,Hybrid,Product
EMP0053,0.46,0.771,39.8,0,Full Office,Finance
EMP0054,0.147,0.416,53.1,1,Full Remote,Customer Success
EMP0055,0.394,0.378,39.8,0,Full Remote,Marketing
EMP0056,0.236,0.687,39.2,1,Full Office,Customer Success
EMP0057,0.497,0.787,35.0,0,Full Remote,Customer Success
EMP0058,0.116,0.944,40.2,1,Full Office,Operations
