employee_id,age,tenure_months,department,seniority,intrinsic_motivation,learning_orientation,social_connection
EMP00001,35,19,Product,IC3,0.645,0.685,0.437
EMP00002,33,4,Engineering,IC2,0.466,0.788,0.48
EMP00003,27,17,Operations,IC2,0.783,0.855,0.366
EMP00004,37,23,Marketing,IC1,0.667,0.438,0.645
EMP00005,26,30,Marketing,IC4,0.618,0.584,0.527
EMP00006,38,44,Sales,IC2,0.759,0.428,0.609
EMP00007,30,26,Product,IC4,0.619,0.682,0.455
EMP00008,26,17,Legal,IC2,0.631,0.522,0.49
EMP00009,34,20,Product,IC2,0.383,0.346,0.499
EMP00010,41,32,Data,IC4,0.896,0.606,0.351
EMP00011,24,48,Finance,IC1,0.593,0.856,0.33
EMP00012,34,33,Engineering,IC2,0.649,0.522,0.684
EMP00013,46,28,Engineering,IC1,0.407,0.675,0.634
EMP00014,31,26,Product,IC3,0.447,0.804,0.368
EMP00015,30,32,Marketing,Senior Manager,0.693,0.777,0.745
EMP00016,24,23,Marketing,Director,0.8,0.608,0.553
EMP00017,36,43,Legal,Manager,0.818,0.329,0.373
EMP00018,40,48,Data,IC3,0.644,0.863,0.684
EMP00019,31,12,Engineering,IC1,0.58,0.416,0.522
EMP00020,26,18,Legal,IC2,0.815,0.55,0.437
EMP00021,32,18,Marketing,Senior Manager,0.437,0.505,0.589
EMP00022,27,35,Legal,IC4,0.531,0.44,0.538
EMP00023,36,5,Finance,IC2,0.517,0.58,0.522
EMP00024,30,57,Marketing,IC2,0.594,0.714,0.337
EMP00025,30,30,HR,IC1,0.807,0.848,0.477
EMP00026,30,4,Data,IC1,0.772,0.558,0.472
EMP00027,35,17,Operations,IC1,0.653,0.634,0.379
EMP00028,25,19,Engineering,IC2,0.936,0.526,0.82
EMP00029,35,32,Sales,Senior Manager,0.629,0.402,0.402
EMP00030,32,21,Finance,Senior Manager,0.496,0.578,0.237
EMP00031,44,22,Customer Success,Manager,0.615,0.526,0.857
EMP00032,29,32,Operations,IC4,0.902,0.42,0.296
EMP00033,34,11,Sales,IC2,0.499,0.697,0.687
EMP00034,47,21,Marketing,IC4,0.522,0.656,0.575
EMP00035,22,44,Customer Success,IC4,0.653,0.76,0.673
EMP00036,26,10,Product,Manager,0.681,0.764,0.455
EMP00037,39,57,Product,Director,0.378,0.636,0.675
EMP00038,30,11,Finance,Manager,0.463,0.544,0.409
EMP00039,22,21,Product,IC3,0.889,0.553,0.729
EMP00040,36,46,Customer Success,IC2,0.72,0.754,0.59
EMP00041,34,16,Customer Success,IC1,0.732,0.759,0.422
EMP00042,32,51,Data,Manager,0.938,0.3,0.383
EMP00043,28,12,Operations,IC4,0.711,0.792,0.662
EMP00044,38,11,Engineering,IC3,0.443,0.231,0.735
EMP00045,32,32,HR,Senior Manager,0.473,0.825,0.453
EMP00046,32,39,Legal,IC2,0.681,0.784,0.585
EMP00047,29,7,Product,IC1,0.395,0.77,0.771
EMP00048,33,19,Finance,IC1,0.71,0.41,0.892
EMP00049,22,12,Product,IC2,0.568,0.841,0.436
EMP00050,30,16,Legal,Manager,0.438,0.735,0.755
EMP00051,27,38,Operations,IC2,0.351,0.183,0.444
EMP00052,32,23,Data,IC1,0.879,0.68,0.603
EMP00053,33,10,Customer Success,IC3,0.674,0.532,0.499
EMP00054,36,13,Data,IC3,0.782,0.374,0.591
EMP00055,27,22,Marketing,IC3,0.82,0.406,0.703
EMP00056,36,6,Product,IC1,0.542,0.593,0.592
EMP00057,35,24,Engineering,IC3,0.361,0.538,0.717
EMP00058,28,17,Marketing,IC3,0.845,0.74,0.483
EMP00059,32,38,Operations,IC4,0.39,0.393,0.548
EMP00060,23,12,Product,IC1,0.6,0.754,0.372
EMP00061,33,28,Marketing,IC3,0.644,0.401,0.759
EMP00062,27,30,Product,IC3,0.566,0.625,0.55
EMP00063,30,12,Finance,IC2,0.403,0.544,0.821
EMP00064,37,55,Operations,Manager,0.552,0.651,0.622
EMP00065,30,23,HR,IC4,0.726,0.65,0.393
EMP00066,33,49,Customer Success,IC2,0.672,0.557,0.666
EMP00067,27,26,Sales,IC1,0.777,0.83,0.349
EMP00068,22,34,Customer Success,IC1,0.713,0.553,0.487
EMP00069,22,46,Customer Success,IC2,0.61,0.531,0.495
EMP00070,26,54,Marketing,IC2,0.744,0.859,0.841
EMP00071,38,27,Operations,IC1,0.526,0.797,0.531
EMP00072,30,13,Product,IC1,0.558,0.488,0.594
EMP00073,32,13,Data,Manager,0.642,0.73,0.701
EMP00074,26,15,Sales,IC1,0.762,0.734,0.549
EMP00075,29,6,Legal,IC4,0.376,0.52,0.673
EMP00076,37,6,Marketing,IC1,0.606,0.651,0.419
EMP00077,38,1,Sales,IC3,0.762,0.321,0.495
EMP00078,32,8,HR,Manager,0.502,0.649,0.302
EMP00079,40,24,Finance,IC1,0.634,0.717,0.614
EMP00080,48,19,Operations,IC1,0.852,0.324,0.592
EMP00081,51,20,Legal,IC3,0.594,0.884,0.511
EMP00082,44,27,Marketing,IC2,0.873,0.42,0.538
EMP00083,44,12,Customer Success,IC2,0.767,0.663,0.698
EMP00084,22,6,Engineering,IC3,0.693,0.674,0.505
EMP00085,24,9,Marketing,IC3,0.893,0.552,0.747
EMP00086,22,27,Engineering,IC2,0.481,0.574,0.566
EMP00087,22,13,Customer Success,IC2,0.435,0.28,0.577
EMP00088,32,19,Finance,IC3,0.781,0.331,0.437
EMP00089,27,10,Operations,IC2,0.748,0.86,0.259
EMP00090,45,27,Product,IC1,0.682,0.84,0.331
EMP00091,23,17,Marketing,Senior Manager,0.729,0.699,0.523
EMP00092,25,8,Data,Senior Manager,0.324,0.378,0.582
EMP00093,34,25,Customer Success,IC2,0.727,0.641,0.458
EMP00094,32,8,Marketing,IC1,0.594,0.569,0.823
EMP00095,22,30,HR,IC3,0.591,0.69,0.504
EMP00096,32,6,Finance,IC3,0.874,0.535,0.709
