employee_id,num_surveys_completed,avg_engagement,latest_engagement,engagement_trend,attrition_risk,did_leave
EMP00001,8,39.6,38.5,1.13,0.615,1
EMP00002,6,42.6,41.5,-0.76,0.585,0
EMP00003,7,47.6,44.9,1.62,0.551,1
EMP00004,7,37.1,36.6,-0.85,0.634,1
EMP00005,8,40.4,40.9,-1.99,0.591,1
EMP00006,7,37.4,30.9,-1.75,0.691,1
EMP00007,7,40.3,36.0,-2.4,0.64,1
EMP00008,7,23.1,20.7,0.88,0.793,1
EMP00009,8,23.2,32.0,3.0,0.68,0
EMP00010,8,46.7,42.1,-1.9,0.579,0
EMP00011,8,40.0,46.8,-0.16,0.532,0
EMP00012,7,39.9,37.7,-1.6,0.623,0
EMP00013,7,38.5,46.1,0.22,0.539,0
EMP00014,6,34.5,37.8,-0.14,0.622,1
EMP00015,7,55.4,53.9,-3.17,0.461,0
EMP00016,6,33.4,37.1,1.82,0.629,1
EMP00017,6,40.7,46.0,1.66,0.54,0
EMP00018,7,46.9,44.3,-4.45,0.557,0
EMP00019,6,29.3,34.9,2.42,0.651,1
EMP00020,7,42.4,41.3,-2.33,0.587,1
EMP00021,7,25.6,32.0,3.22,0.68,1
EMP00022,7,33.0,30.8,-2.8,0.692,1
EMP00023,7,47.6,46.4,3.07,0.536,1
EMP00024,7,37.3,37.0,-0.02,0.63,1
EMP00025,6,55.3,60.3,5.54,0.297,0
EMP00026,7,51.3,51.0,1.68,0.49,0
EMP00027,6,40.4,38.7,-1.72,0.613,0
EMP00028,6,48.1,52.3,-1.04,0.477,1
EMP00029,4,42.8,42.9,0.63,0.571,1
EMP00030,7,28.5,24.5,1.75,0.755,1
EMP00031,7,43.0,45.2,3.63,0.548,0
EMP00032,8,35.3,36.8,2.9,0.632,0
EMP00033,7,33.7,38.5,-1.47,0.615,1
EMP00034,7,34.8,33.5,0.45,0.665,1
EMP00035,6,43.1,46.3,-0.28,0.537,1
EMP00036,8,40.9,43.7,3.0,0.563,1
EMP00037,8,39.3,50.5,2.46,0.495,1
EMP00038,8,24.3,28.0,-0.67,0.72,1
EMP00039,8,41.0,37.1,-0.67,0.629,1
EMP00040,5,44.4,45.9,0.53,0.541,1
EMP00041,8,43.6,51.0,3.56,0.49,1
EMP00042,6,42.0,37.1,-1.72,0.629,1
EMP00043,7,41.1,38.8,-3.68,0.612,1
EMP00044,8,29.7,30.0,2.73,0.7,0
EMP00045,7,40.5,36.9,-4.4,0.631,1
EMP00046,5,51.0,50.8,-2.38,0.492,1
EMP00047,6,35.1,40.0,2.4,0.6,0
EMP00048,5,41.9,38.6,0.03,0.614,1
EMP00049,7,38.0,34.9,-0.07,0.651,1
EMP00050,7,32.8,24.2,-3.33,0.758,1
EMP00051,8,22.5,24.3,-1.16,0.757,1
EMP00052,7,41.1,43.9,1.85,0.561,1
EMP00053,8,30.2,24.3,-0.94,0.757,1
EMP00054,7,35.6,26.4,-3.92,0.736,0
EMP00055,7,41.5,38.9,-1.57,0.611,1
EMP00056,6,36.3,42.9,-0.24,0.571,1
EMP00057,6,41.9,42.0,2.96,0.58,1
EMP00058,7,38.4,38.2,4.58,0.618,1
EMP00059,8,33.4,34.5,0.77,0.655,1
EMP00060,5,37.9,35.8,-5.57,0.842,1
EMP00061,6,41.5,39.1,-4.02,0.609,0
EMP00062,6,37.5,37.8,2.86,0.622,1
EMP00063,6,30.4,29.9,-0.6,0.701,0
EMP00064,7,39.6,42.5,-1.18,0.575,1
EMP00065,8,29.0,25.6,1.6,0.744,1
EMP00066,6,46.4,45.1,0.36,0.549,0
EMP00067,5,48.5,53.2,5.38,0.368,0
EMP00068,8,42.8,47.7,1.27,0.523,1
EMP00069,8,42.4,45.3,2.21,0.547,0
EMP00070,8,57.8,52.3,-2.51,0.477,1
EMP00071,8,45.8,38.1,0.14,0.619,1
EMP00072,6,38.8,39.3,-0.62,0.607,1
EMP00073,6,40.8,40.2,3.34,0.598,1
EMP00074,8,42.4,39.6,2.1,0.604,1
EMP00075,5,33.6,37.2,1.47,0.628,1
EMP00076,8,34.7,37.9,-2.5,0.621,0
EMP00077,6,50.5,48.2,-0.8,0.518,0
EMP00078,4,24.7,25.0,2.13,0.75,1
EMP00079,8,42.4,38.3,1.93,0.617,1
EMP00080,8,37.4,38.3,-1.53,0.617,1
EMP00081,6,47.7,47.6,-4.9,0.524,1
EMP00082,7,38.6,40.9,-0.8,0.591,0
EMP00083,6,44.0,40.6,-2.66,0.594,0
EMP00084,5,33.4,42.5,8.4,0.475,0
EMP00085,6,46.7,47.3,1.62,0.527,1
EMP00086,6,33.4,35.4,3.52,0.646,1
EMP00087,5,19.9,14.4,0.17,0.856,1
EMP00088,7,28.8,24.8,-1.77,0.752,1
EMP00089,8,34.0,30.1,-2.11,0.699,1
EMP00090,7,43.0,46.4,4.32,0.536,0
EMP00091,7,34.9,31.1,-2.73,0.689,1
EMP00092,8,27.1,36.5,3.29,0.635,1
EMP00093,6,45.8,41.9,-4.24,0.581,1
EMP00094,7,39.5,37.5,-0.43,0.625,1
EMP00095,7,39.9,41.5,-1.27,0.585,0
EMP00096,7,46.7,52.6,3.05,0.474,1
EMP00097,6,42.4,48.4,6.14,0.416,1
EMP00098,7,46.2,44.7,-1.82,0.553,1
EMP00099,8,42.3,39.7,-2.54,0.603,1
EMP00100,7,38.2,43.9,-0.55,0.561,1
EMP00101,8,49.0,43.4,-4.54,0.566,0
EMP00102,8,26.0,24.6,-2.41,0.754,1
EMP00103,5,32.5,32.0,-3.48,0.68,1
EMP00104,5,43.7,45.7,-1.2,0.543,0
EMP00105,5,43.0,40.0,-3.05,0.6,1
EMP00106,7,41.0,42.2,1.85,0.578,1
EMP00107,7,31.6,27.7,-3.13,0.723,1
EMP00108,6,61.2,65.3,4.92,0.347,1
EMP00109,7,33.5,37.8,2.1,0.622,1
EMP00110,5,29.6,35.6,1.88,0.644,0
EMP00111,7,51.1,55.9,3.52,0.441,1
EMP00112,5,29.9,27.2,4.4,0.728,1
EMP00113,8,51.9,56.7,1.31,0.433,1
EMP00114,6,27.0,30.5,3.34,0.695,0
EMP00115,7,28.4,26.7,-0.6,0.733,1
EMP00116,6,55.1,51.7,-1.46,0.483,1
EMP00117,6,38.4,37.5,3.86,0.625,1
EMP00118,7,42.3,39.4,-5.5,0.806,1
EMP00119,7,48.3,49.6,0.48,0.504,1
EMP00120,7,32.5,21.8,-1.38,0.782,1
EMP00121,7,38.7,34.0,1.35,0.66,1
EMP00122,8,46.3,47.8,-1.16,0.522,1
EMP00123,8,37.5,41.9,4.09,0.581,0
EMP00124,6,46.3,50.2,-0.1,0.498,1
EMP00125,8,40.1,42.1,-0.31,0.579,0
EMP00126,5,34.3,35.7,5.28,0.543,1
EMP00127,7,37.7,35.0,-3.18,0.65,1
EMP00128,8,37.0,39.3,1.07,0.607,1
EMP00129,8,40.9,31.9,-2.57,0.681,1
EMP00130,8,45.2,48.6,1.46,0.514,1
EMP00131,7,30.3,25.7,-0.18,0.743,1
EMP00132,5,35.4,33.4,3.92,0.666,1
EMP00133,8,31.6,32.2,1.44,0.678,1
EMP00134,6,28.5,31.0,3.4,0.69,1
EMP00135,7,33.5,33.7,2.8,0.663,1
EMP00136,8,29.9,29.0,2.36,0.71,0
EMP00137,6,26.9,27.1,0.06,0.729,0
EMP00138,7,49.5,48.2,-2.15,0.518,0
EMP00139,6,41.2,41.0,-2.64,0.59,1
EMP00140,6,48.0,51.7,3.84,0.483,0
EMP00141,7,37.0,31.5,1.17,0.685,0
EMP00142,8,33.5,32.4,0.79,0.676,1
EMP00143,4,38.0,34.6,-4.5,0.654,1
EMP00144,7,35.9,32.3,0.62,0.677,1
EMP00145,7,33.1,35.5,0.53,0.645,1
EMP00146,8,37.8,43.2,1.16,0.568,1
EMP00147,5,39.5,38.2,-0.62,0.618,1
EMP00148,5,55.0,49.7,-4.45,0.503,1
EMP00149,6,41.0,37.3,1.96,0.627,1
EMP00150,7,30.7,35.8,1.43,0.642,1
EMP00151,7,45.4,38.0,-1.12,0.62,0
EMP00152,6,46.3,41.0,-2.94,0.59,1
EMP00153,7,52.5,50.6,-0.9,0.494,0
EMP00154,5,31.9,30.9,-1.8,0.691,1
EMP00155,7,43.1,43.5,1.03,0.565,1
EMP00156,7,44.6,44.6,0.28,0.554,0
EMP00157,7,34.7,35.8,-2.37,0.642,1
EMP00158,5,55.1,52.3,-4.2,0.477,0
EMP00159,6,45.5,50.9,5.76,0.391,1
EMP00160,6,26.8,15.1,-1.6,0.849,1
EMP00161,6,37.4,36.0,-2.56,0.64,1
EMP00162,7,25.2,19.7,-3.78,0.803,1
EMP00163,7,34.2,27.7,-0.32,0.723,0
EMP00164,7,29.0,24.0,-2.7,0.76,1
EMP00165,6,37.6,38.0,-2.78,0.62,0
EMP00166,8,47.8,52.6,0.74,0.474,0
EMP00167,5,48.3,45.5,-0.88,0.545,0
EMP00168,7,27.2,26.6,-1.23,0.734,1
EMP00169,6,32.1,29.5,-2.92,0.705,1
EMP00170,6,43.1,39.5,-0.46,0.605,1
EMP00171,8,45.2,45.4,1.37,0.546,0
EMP00172,7,48.7,47.1,-1.53,0.529,1
EMP00173,6,38.3,34.8,-0.3,0.652,1
EMP00174,8,41.6,43.8,0.57,0.562,1
EMP00175,6,44.4,39.4,-5.9,0.806,1
EMP00176,5,56.5,49.6,-2.1,0.504,1
EMP00177,8,39.2,39.8,-0.59,0.602,1
EMP00178,6,36.2,34.3,-4.74,0.657,1
EMP00179,8,30.2,27.6,-1.07,0.724,1
EMP00180,8,34.0,37.9,1.4,0.621,1
EMP00181,7,43.2,36.6,-3.08,0.634,1
EMP00182,7,29.2,27.9,0.33,0.721,0
EMP00183,7,39.6,38.5,4.85,0.615,0
EMP00184,8,39.5,41.1,1.7,0.589,1
EMP00185,7,35.8,36.8,1.0,0.632,1
EMP00186,8,47.5,48.1,-0.04,0.519,1
EMP00187,7,57.6,57.4,-2.55,0.426,0
EMP00188,8,33.0,36.2,-1.6,0.638,1
EMP00189,5,43.9,51.4,-0.1,0.486,1
EMP00190,6,58.4,55.9,-1.94,0.441,0
EMP00191,6,44.6,42.2,4.44,0.578,1
EMP00192,5,60.3,59.5,1.85,0.405,1
EMP00193,6,44.8,41.8,1.3,0.582,1
EMP00194,7,39.9,34.9,-3.95,0.651,1
EMP00195,6,41.0,42.4,-0.64,0.576,0
EMP00196,7,50.7,50.4,0.02,0.496,0
EMP00197,8,44.9,38.4,-3.04,0.616,1
EMP00198,6,20.9,23.7,1.88,0.763,1
EMP00199,8,37.6,37.5,1.19,0.625,1
EMP00200,7,32.4,32.1,-0.6,0.679,1
EMP00201,6,51.4,50.1,0.22,0.499,0
EMP00202,6,46.2,48.5,1.36,0.515,0
EMP00203,6,39.1,36.3,-3.42,0.637,1
EMP00204,5,35.7,35.0,-4.17,0.65,0
EMP00205,6,42.8,39.9,-0.66,0.601,0
EMP00206,7,35.4,40.6,1.6,0.594,1
EMP00207,7,37.0,40.2,0.97,0.598,0
EMP00208,7,37.6,38.6,2.12,0.614,0
EMP00209,5,32.9,33.7,-1.08,0.663,1
EMP00210,6,37.4,39.6,2.36,0.604,1
EMP00211,7,43.2,36.7,-0.82,0.633,1
EMP00212,7,42.2,41.8,-0.47,0.582,0
EMP00213,8,32.1,28.1,-1.23,0.719,1
EMP00214,7,37.0,39.4,3.18,0.606,0
EMP00215,6,45.8,46.7,-1.94,0.533,0
EMP00216,6,41.5,37.7,1.64,0.623,0
EMP00217,7,40.6,38.2,1.6,0.618,0
EMP00218,7,36.4,36.6,2.92,0.634,0
EMP00219,7,41.8,47.1,0.3,0.529,0
EMP00220,6,39.2,41.9,2.38,0.581,0
EMP00221,7,43.5,42.0,0.87,0.58,1
EMP00222,7,33.2,39.8,0.55,0.602,1
EMP00223,8,64.3,61.2,-1.59,0.388,1
EMP00224,8,37.2,40.5,1.94,0.595,0
EMP00225,6,45.5,39.9,0.3,0.601,0
EMP00226,8,44.2,54.2,2.21,0.458,0
EMP00227,6,41.7,43.3,2.68,0.567,0
EMP00228,8,29.7,31.5,-0.5,0.685,1
EMP00229,7,39.3,38.7,-0.5,0.613,1
EMP00230,6,30.5,28.8,-1.22,0.712,1
EMP00231,8,26.5,26.6,-1.7,0.734,0
EMP00232,7,34.1,25.5,-3.48,0.745,1
EMP00233,7,60.0,59.8,-4.1,0.402,0
EMP00234,8,46.4,51.0,1.33,0.49,0
EMP00235,6,55.6,61.2,2.88,0.388,0
EMP00236,7,36.3,31.6,-2.93,0.684,1
EMP00237,7,28.3,28.6,1.95,0.714,1
EMP00238,6,30.5,31.3,0.12,0.687,0
EMP00239,6,31.4,34.0,-1.28,0.66,1
EMP00240,5,36.2,39.2,0.1,0.608,1
EMP00241,7,31.3,28.3,-1.12,0.717,1
EMP00242,7,50.6,43.6,-3.68,0.564,0
EMP00243,6,49.7,47.2,0.48,0.528,1
EMP00244,6,39.5,33.9,-2.94,0.661,0
EMP00245,8,38.4,37.2,-1.47,0.628,0
EMP00246,8,45.4,48.5,-1.21,0.515,1
EMP00247,8,38.8,38.6,-0.67,0.614,1
EMP00248,7,43.0,42.4,-0.8,0.576,0
EMP00249,6,41.9,38.1,1.18,0.619,0
EMP00250,6,21.7,25.0,3.66,0.75,1
EMP00251,7,39.3,36.6,0.6,0.634,0
EMP00252,6,33.5,35.0,0.42,0.65,1
EMP00253,7,52.9,54.4,-3.53,0.456,1
EMP00254,7,36.7,37.7,1.45,0.623,1
EMP00255,6,37.7,38.4,2.38,0.616,1
EMP00256,8,31.2,26.6,1.37,0.734,1
EMP00257,8,31.7,30.2,-2.29,0.698,0
EMP00258,7,41.2,42.1,0.98,0.579,1
EMP00259,7,30.0,30.6,-0.22,0.694,1
EMP00260,7,52.4,54.2,-1.02,0.458,1
EMP00261,8,34.7,33.7,3.16,0.663,1
EMP00262,7,31.2,34.7,2.25,0.653,0
EMP00263,7,49.3,55.2,5.12,0.348,0
EMP00264,6,41.3,41.4,-4.1,0.586,1
EMP00265,6,32.2,33.3,1.34,0.667,0
EMP00266,7,39.6,47.2,0.9,0.528,0
EMP00267,7,41.4,39.0,-0.87,0.61,1
EMP00268,7,27.9,26.5,2.75,0.735,1
EMP00269,7,20.0,21.6,1.28,0.784,0
EMP00270,6,41.2,37.1,-3.92,0.629,0
EMP00271,8,46.2,49.4,-3.14,0.506,0
