response_id,employee_id,survey_number,survey_date,overall_engagement_score,job_satisfaction,work_life_balance,career_development,manager_relationship,team_collaboration,company_culture,recognition,compensation_fairness,work_meaningfulness,autonomy,resources_support,innovation_encouraged,would_recommend,likelihood_to_stay,satisfaction_change,feedback_sentiment,feedback_length_words,participated_in_events,training_hours_completed
RESP000001,EMP00001,1,2024-12-27,34.2,4.6,3.8,4.3,4.0,4.3,4.6,3.0,3.9,5.1,3.0,4.1,3.9,0,4.1,-0.6,0.342,92,1,7
RESP000002,EMP00002,1,2024-12-27,49.9,5.0,5.0,6.4,5.8,5.9,5.8,4.4,4.9,6.2,3.9,5.7,5.4,0,5.5,0.8,0.499,51,0,6
RESP000003,EMP00003,1,2024-12-27,46.6,3.3,5.3,5.2,5.3,5.2,3.9,5.0,5.3,5.3,5.1,4.2,4.3,0,5.2,-1.4,0.466,55,0,8
RESP000004,EMP00004,1,2024-12-27,35.2,4.7,2.7,3.6,2.9,4.1,3.4,4.5,4.3,5.2,4.1,4.4,3.7,0,4.2,-1.1,0.352,64,0,13
RESP000005,EMP00005,1,2024-12-27,47.7,5.4,4.5,6.4,5.8,7.0,4.4,6.0,5.7,5.0,6.4,5.6,4.5,0,5.3,-0.1,0.477,20,1,7
RESP000006,EMP00006,1,2024-12-27,45.2,4.5,5.4,5.5,3.5,5.4,4.9,5.8,4.3,5.5,5.1,4.5,5.0,0,5.1,-0.5,0.452,46,0,11
RESP000007,EMP00008,1,2024-12-27,13.7,2.5,4.6,2.0,3.0,2.8,1.0,2.6,1.6,2.1,1.1,2.6,2.0,0,2.2,1.3,0.137,15,0,7
RESP000008,EMP00009,1,2024-12-27,8.9,1.6,2.0,1.0,1.0,2.6,1.2,2.3,2.8,1.2,1.0,2.5,1.6,0,1.8,-0.4,0.089,86,0,0
RESP000009,EMP00010,1,2024-12-27,44.4,4.3,4.6,4.8,6.0,4.2,4.6,6.2,4.7,4.5,5.9,5.0,5.1,0,5.0,0.3,0.444,82,1,3
RESP000010,EMP00011,1,2024-12-27,33.4,3.3,3.9,4.1,5.0,4.1,4.0,3.3,2.7,4.7,3.8,3.6,4.8,0,4.0,-0.3,0.334,21,1,10
RESP000011,EMP00012,1,2024-12-27,39.9,3.9,5.2,4.3,4.0,3.9,4.9,4.2,3.0,3.6,4.4,4.4,4.4,0,4.6,-0.4,0.399,13,1,3
RESP000012,EMP00013,1,2024-12-27,44.7,5.4,5.7,4.5,5.0,4.4,4.1,5.3,5.8,4.9,6.3,5.2,4.4,0,5.0,-1.1,0.447,70,0,9
RESP000013,EMP00014,1,2024-12-27,39.6,4.2,3.4,5.1,5.4,6.1,4.8,4.0,3.9,5.3,3.8,5.1,4.8,0,4.6,0.2,0.396,12,0,6
RESP000014,EMP00015,1,2024-12-27,60.5,7.4,6.6,6.5,7.3,6.3,7.2,7.4,6.0,6.1,7.0,6.6,6.9,0,6.4,0.3,0.605,50,0,10
RESP000015,EMP00016,1,2024-12-27,20.1,3.0,3.4,3.3,2.7,2.4,2.9,1.7,2.3,4.7,1.9,2.5,2.1,0,2.8,-0.1,0.201,23,0,2
